brand,data_role,scenario_acronym,system_mode,clause_ref,cncap_named,condition_id,rel_path,file,test_id,run_id,size_mb,n_cols,n_points,duration_s,sample_rate_hz,has_spec,spec_type,spec_desc,validity_label,exclude_reason
GAC_A66,protocol,BSD,,L6.5.4,0,Guang_Qi_A66_data/11-L6.5.4-BSD-VUT/396-L6.5.4-BSD C2C-Lane change-Right-VUT-50kph,Guang_Qi_A66_data/11-L6.5.4-BSD-VUT/396-L6.5.4-BSD C2C-Lane change-Right-VUT-50kph/V3_T396_R1.txt,V3_T396_R1.txt,396,1,13.04,416,5091,50.90,100.0,1,PF Standard,L6.5.4-BSD C2C-Lane change-Right-VUT-50kph,pass_parser_v1,
GAC_A66,protocol,BSD,,L6.5.4,0,Guang_Qi_A66_data/11-L6.5.4-BSD-VUT/396-L6.5.4-BSD C2C-Lane change-Right-VUT-50kph,Guang_Qi_A66_data/11-L6.5.4-BSD-VUT/396-L6.5.4-BSD C2C-Lane change-Right-VUT-50kph/V3_T396_R2.txt,V3_T396_R2.txt,396,2,12.74,416,4970,49.69,100.0,1,PF Standard,L6.5.4-BSD C2C-Lane change-Right-VUT-50kph,pass_parser_v1,
GAC_A66,protocol,BSD,,L6.5.4,0,Guang_Qi_A66_data/11-L6.5.4-BSD-VUT/396-L6.5.4-BSD C2C-Lane change-Right-VUT-50kph,Guang_Qi_A66_data/11-L6.5.4-BSD-VUT/396-L6.5.4-BSD C2C-Lane change-Right-VUT-50kph/V3_T396_R3.txt,V3_T396_R3.txt,396,3,12.73,416,4978,49.77,100.0,1,PF Standard,L6.5.4-BSD C2C-Lane change-Right-VUT-50kph,pass_parser_v1,
GAC_A66,protocol,BSD,,L6.5.4,0,Guang_Qi_A66_data/11-L6.5.4-BSD-VUT/397-L6.5.4-BSD C2C-Lane change-Left-VUT-50kph,Guang_Qi_A66_data/11-L6.5.4-BSD-VUT/397-L6.5.4-BSD C2C-Lane change-Left-VUT-50kph/V3_T397_R1.txt,V3_T397_R1.txt,397,1,11.60,416,4556,45.55,100.0,1,PF Standard,L6.5.4-BSD C2C-Lane change-Left-VUT-50kph,pass_parser_v1,
GAC_A66,protocol,BSD,,L6.5.4,0,Guang_Qi_A66_data/11-L6.5.4-BSD-VUT/397-L6.5.4-BSD C2C-Lane change-Left-VUT-50kph,Guang_Qi_A66_data/11-L6.5.4-BSD-VUT/397-L6.5.4-BSD C2C-Lane change-Left-VUT-50kph/V3_T397_R2.txt,V3_T397_R2.txt,397,2,9.87,416,3860,38.59,100.0,1,PF Standard,L6.5.4-BSD C2C-Lane change-Left-VUT-50kph,pass_parser_v1,
GAC_A66,protocol,BSD,,L6.5.4,0,Guang_Qi_A66_data/11-L6.5.4-BSD-VUT/397-L6.5.4-BSD C2C-Lane change-Left-VUT-50kph,Guang_Qi_A66_data/11-L6.5.4-BSD-VUT/397-L6.5.4-BSD C2C-Lane change-Left-VUT-50kph/V3_T397_R3.txt,V3_T397_R3.txt,397,3,11.54,416,4512,45.11,100.0,1,PF Standard,L6.5.4-BSD C2C-Lane change-Left-VUT-50kph,pass_parser_v1,
GAC_A66,function_test,ACC,,,0,Guang_Qi_A66_data/12-ACC/402-2.1,Guang_Qi_A66_data/12-ACC/402-2.1/V3_T402_R1.txt,V3_T402_R1.txt,402,1,4.74,385,2691,26.90,100.0,1,Learn,2.1,pass_parser_v1,
GAC_A66,function_test,ACC,,,0,Guang_Qi_A66_data/12-ACC/402-2.1,Guang_Qi_A66_data/12-ACC/402-2.1/V3_T402_R2.txt,V3_T402_R2.txt,402,2,10.25,416,5130,51.29,100.0,1,Learn,2.1,pass_parser_v1,
GAC_A66,function_test,ACC,,,0,Guang_Qi_A66_data/12-ACC/402-2.1,Guang_Qi_A66_data/12-ACC/402-2.1/V3_T402_R3.txt,V3_T402_R3.txt,402,3,8.92,416,4419,44.18,100.0,1,Learn,2.1,pass_parser_v1,
GAC_A66,function_test,ACC,,,0,Guang_Qi_A66_data/12-ACC/403-2.2,Guang_Qi_A66_data/12-ACC/403-2.2/V3_T403_R1.txt,V3_T403_R1.txt,403,1,6.97,385,3934,39.33,100.0,1,Learn,2.2,pass_parser_v1,
