scenario_acronym,GAC_A66_conditions,GAC_E8_conditions,GAC_S9_conditions,XPENG_P7PLUS_conditions,GAC_A66_runs,GAC_E8_runs,GAC_S9_runs,XPENG_P7PLUS_runs
ACC,12,0,0,0,45,0,0,0
BSD,8,0,4,0,24,0,12,0
CBLA,4,2,0,0,4,2,0,0
CBNAO,3,0,3,0,3,0,4,0
CCFT,3,2,6,3,6,4,9,3
CCOv,3,0,1,1,7,0,3,6
CCRH,2,1,2,2,2,1,4,2
CCRs,7,7,7,7,12,9,8,10
CPFAO,6,0,6,0,6,0,8,0
CPLA,8,4,4,0,9,7,4,0
CPNCO,3,0,3,0,3,0,4,0
CPTA,8,4,8,8,12,8,10,18
CSFAO,3,0,3,0,3,0,3,0
CSTA,5,0,5,5,12,0,8,6
DOW,3,0,0,0,19,0,0,0
ICA,10,0,0,0,65,0,0,0
ILC,3,0,0,0,13,0,0,0
ISLS,2,0,0,0,6,0,0,0
LDW,4,0,6,0,12,0,17,0
LKA,22,0,16,12,66,0,38,28
RCTA,6,0,0,0,18,0,0,0
RCW,6,0,0,0,29,0,0,0
SCP,4,1,4,4,5,1,7,7
SCPO,2,0,2,1,2,0,3,4
TJA,8,0,0,0,26,0,0,0
TSR,4,0,0,0,9,0,0,0
