rel_path,brand,scenario_acronym,condition_id,extractor_version,vut_speed_kph,target_speed_kph,overlap_pct,lighting,sub_variant,target_type,family,is_crossing,tt_number,tt_source,tt_channel,tt_min,tt_max,use_sync,veh_length_m,veh_width_m,veh_wheelbase_m,veh_mass_kg,closing_speed_ms,T0,T0_method,collision,t_collision_rel,min_ttc,t_min_ttc_rel,t_aeb_rel,aeb_triggered,aeb_method,E1,E2,E3,E4,equipment_abort,min_dist,dy_at_min,label_family,needs_manual_review
Guang_Qi_A66_data/11-L6.5.4-BSD-VUT/396-L6.5.4-BSD C2C-Lane change-Right-VUT-50kph/V3_T396_R1.txt,GAC_A66,BSD,Guang_Qi_A66_data\11-L6.5.4-BSD-VUT\396-L6.5.4-BSD C2C-Lane change-Right-VUT-50kph,labels_v0.3,50.0,,,,,GVT,warning,0,,,,,,,5.1,1.98,3.02,2535.0,1.92,1.240,target_motion_onset,,,,,,,,,,,0,,,,warning,
Guang_Qi_A66_data/11-L6.5.4-BSD-VUT/396-L6.5.4-BSD C2C-Lane change-Right-VUT-50kph/V3_T396_R2.txt,GAC_A66,BSD,Guang_Qi_A66_data\11-L6.5.4-BSD-VUT\396-L6.5.4-BSD C2C-Lane change-Right-VUT-50kph,labels_v0.3,50.0,,,,,GVT,warning,0,,,,,,,5.1,1.98,3.02,2535.0,0.64,0.000,target_motion_onset,,,,,,,,,,,0,,,,warning,
Guang_Qi_A66_data/11-L6.5.4-BSD-VUT/396-L6.5.4-BSD C2C-Lane change-Right-VUT-50kph/V3_T396_R3.txt,GAC_A66,BSD,Guang_Qi_A66_data\11-L6.5.4-BSD-VUT\396-L6.5.4-BSD C2C-Lane change-Right-VUT-50kph,labels_v0.3,50.0,,,,,GVT,warning,0,,,,,,,5.1,1.98,3.02,2535.0,1.48,0.900,target_motion_onset,,,,,,,,,,,0,,,,warning,
Guang_Qi_A66_data/11-L6.5.4-BSD-VUT/397-L6.5.4-BSD C2C-Lane change-Left-VUT-50kph/V3_T397_R1.txt,GAC_A66,BSD,Guang_Qi_A66_data\11-L6.5.4-BSD-VUT\397-L6.5.4-BSD C2C-Lane change-Left-VUT-50kph,labels_v0.3,50.0,,,,,GVT,warning,0,,,,,,,5.1,1.98,3.02,2535.0,0.83,0.470,target_motion_onset,,,,,,,,,,,0,,,,warning,
Guang_Qi_A66_data/11-L6.5.4-BSD-VUT/397-L6.5.4-BSD C2C-Lane change-Left-VUT-50kph/V3_T397_R2.txt,GAC_A66,BSD,Guang_Qi_A66_data\11-L6.5.4-BSD-VUT\397-L6.5.4-BSD C2C-Lane change-Left-VUT-50kph,labels_v0.3,50.0,,,,,GVT,warning,0,,,,,,,5.1,1.98,3.02,2535.0,2.63,1.180,target_motion_onset,,,,,,,,,,,0,,,,warning,
Guang_Qi_A66_data/11-L6.5.4-BSD-VUT/397-L6.5.4-BSD C2C-Lane change-Left-VUT-50kph/V3_T397_R3.txt,GAC_A66,BSD,Guang_Qi_A66_data\11-L6.5.4-BSD-VUT\397-L6.5.4-BSD C2C-Lane change-Left-VUT-50kph,labels_v0.3,50.0,,,,,GVT,warning,0,,,,,,,5.1,1.98,3.02,2535.0,3.32,2.910,target_motion_onset,,,,,,,,,,,0,,,,warning,
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/13-CPLA-25 5 kph AEB (Day)/41-VUT 20 kph; CPLA-25 5 kph AEB (Day)/V3_T41_R1.txt,GAC_A66,CPLA,Guang_Qi_A66_data\2-C-NCAP VRU 2024 (VUT)\12-CPLA [O.6.1.6]\13-CPLA-25 5 kph AEB (Day)\41-VUT 20 kph; CPLA-25 5 kph AEB (Day),labels_v0.3,20.0,5.0,25.0,day,,PT_adult,vru,0,1,ar_start_trigger,,,,,5.1,1.98,3.02,2535.0,4.30,20.641,tt1,0,,0.446,2.630,2.520,1,decel_onset,0,0,0,0,0,0.989,0.482,vru,
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/13-CPLA-25 5 kph AEB (Day)/47-VUT 40 kph; CPLA-25 5 kph AEB (Day)/V3_T47_R1.txt,GAC_A66,CPLA,Guang_Qi_A66_data\2-C-NCAP VRU 2024 (VUT)\12-CPLA [O.6.1.6]\13-CPLA-25 5 kph AEB (Day)\47-VUT 40 kph; CPLA-25 5 kph AEB (Day),labels_v0.3,40.0,5.0,25.0,day,,PT_adult,vru,0,1,ar_start_trigger,,,,,5.1,1.98,3.02,2535.0,9.86,20.071,tt1,0,,0.693,2.550,2.200,1,decel_onset,0,0,0,0,0,2.452,0.481,vru,
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/14-CPLA-25 5 kph FCW (Day)/53-VUT 60 kph; CPLA-25 5 kph FCW (Day)/V3_T53_R1.txt,GAC_A66,CPLA,Guang_Qi_A66_data\2-C-NCAP VRU 2024 (VUT)\12-CPLA [O.6.1.6]\14-CPLA-25 5 kph FCW (Day)\53-VUT 60 kph; CPLA-25 5 kph FCW (Day),labels_v0.3,60.0,5.0,25.0,day,,PT_adult,vru,0,1,ar_start_trigger,,,,,5.1,1.98,3.02,2535.0,15.40,16.431,tt1,0,,0.146,2.880,,0,,0,0,0,0,0,2.105,2.425,vru,
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/14-CPLA-25 5 kph FCW (Day)/59-VUT 80 kph; CPLA-25 5 kph FCW (Day)/V3_T59_R2.txt,GAC_A66,CPLA,Guang_Qi_A66_data\2-C-NCAP VRU 2024 (VUT)\12-CPLA [O.6.1.6]\14-CPLA-25 5 kph FCW (Day)\59-VUT 80 kph; CPLA-25 5 kph FCW (Day),labels_v0.3,80.0,5.0,25.0,day,,PT_adult,vru,0,1,ar_start_trigger,,,,,5.1,1.98,3.02,2535.0,20.95,21.301,tt1,0,,0.121,3.170,1.470,1,decel_onset,0,0,0,0,0,1.880,2.210,vru,
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/14-CPLA-25 5 kph FCW (Day)/59-VUT 80 kph; CPLA-25 5 kph FCW (Day)/V3_T59_R3.txt,GAC_A66,CPLA,Guang_Qi_A66_data\2-C-NCAP VRU 2024 (VUT)\12-CPLA [O.6.1.6]\14-CPLA-25 5 kph FCW (Day)\59-VUT 80 kph; CPLA-25 5 kph FCW (Day),labels_v0.3,80.0,5.0,25.0,day,,PT_adult,vru,0,1,ar_start_trigger,,,,,5.1,1.98,3.02,2535.0,22.43,6.980,tt1,1,3.240,0.026,3.240,1.390,1,decel_onset,1,0,1,0,0,-5.837,0.309,vru,collision_without_abort_flag
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/15-CPLA-25 5 kph AEB (Night)/44-VUT 20 kph; CPLA-25 5 kph AEB (Night)/V3_T44_R1.txt,GAC_A66,CPLA,Guang_Qi_A66_data\2-C-NCAP VRU 2024 (VUT)\12-CPLA [O.6.1.6]\15-CPLA-25 5 kph AEB (Night)\44-VUT 20 kph; CPLA-25 5 kph AEB (Night),labels_v0.3,20.0,5.0,25.0,night,,PT_adult,vru,0,1,ar_start_trigger,,,,,5.1,1.98,3.02,2535.0,4.32,14.921,tt1,0,,0.445,2.620,2.510,1,decel_onset,0,0,0,0,0,1.001,0.502,vru,
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/15-CPLA-25 5 kph AEB (Night)/50-VUT 40 kph; CPLA-25 5 kph AEB (Night)/V3_T50_R1.txt,GAC_A66,CPLA,Guang_Qi_A66_data\2-C-NCAP VRU 2024 (VUT)\12-CPLA [O.6.1.6]\15-CPLA-25 5 kph AEB (Night)\50-VUT 40 kph; CPLA-25 5 kph AEB (Night),labels_v0.3,40.0,5.0,50.0,night,,PT_adult,vru,0,1,ar_start_trigger,,,,,5.1,1.98,3.02,2535.0,9.88,13.831,tt1,0,,0.791,2.360,2.120,1,decel_onset,0,0,0,0,0,3.253,0.506,vru,
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/16-CPLA-25 5 kph FCW (Night)/56-VUT 60 kph; CPLA-25 5 kph FCW (Night)/V3_T56_R1.txt,GAC_A66,CPLA,Guang_Qi_A66_data\2-C-NCAP VRU 2024 (VUT)\12-CPLA [O.6.1.6]\16-CPLA-25 5 kph FCW (Night)\56-VUT 60 kph; CPLA-25 5 kph FCW (Night),labels_v0.3,60.0,5.0,25.0,night,,PT_adult,vru,0,1,ar_start_trigger,,,,,5.1,1.98,3.02,2535.0,15.41,16.251,tt1,0,,0.507,2.660,1.930,1,decel_onset,0,0,0,0,0,6.442,1.971,vru,
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/16-CPLA-25 5 kph FCW (Night)/62-VUT 80 kph; CPLA-25 5 kph FCW (Night)/V3_T62_R1.txt,GAC_A66,CPLA,Guang_Qi_A66_data\2-C-NCAP VRU 2024 (VUT)\12-CPLA [O.6.1.6]\16-CPLA-25 5 kph FCW (Night)\62-VUT 80 kph; CPLA-25 5 kph FCW (Night),labels_v0.3,80.0,5.0,25.0,night,,PT_adult,vru,0,1,ar_start_trigger,,,,,5.1,1.98,3.02,2535.0,20.97,21.831,tt1,0,,0.008,3.040,2.320,1,decel_onset,0,0,1,0,0,-5.390,2.651,vru,near_zero_ttc_no_contact
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/65-VUT 20 kph; CPNCO-25 5 kph AEB (Day)/V3_T65_R1.txt,GAC_A66,CPNCO,Guang_Qi_A66_data\2-C-NCAP VRU 2024 (VUT)\17-CPNCO [O.6.1.7]\18-CPNCO-25 5 kph AEB (Day)\65-VUT 20 kph; CPNCO-25 5 kph AEB (Day),labels_v0.3,20.0,5.0,25.0,day,,PT_child,vru,0,1,ar_start_trigger,,,,,5.1,1.98,3.02,2535.0,5.69,26.222,tt1,0,,0.744,2.310,2.240,1,decel_onset,0,0,0,0,0,2.519,0.677,vru,
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/74-VUT 40 kph; CPNCO-25 5 kph AEB (Day)/V3_T74_R1.txt,GAC_A66,CPNCO,Guang_Qi_A66_data\2-C-NCAP VRU 2024 (VUT)\17-CPNCO [O.6.1.7]\18-CPNCO-25 5 kph AEB (Day)\74-VUT 40 kph; CPNCO-25 5 kph AEB (Day),labels_v0.3,40.0,5.0,25.0,day,,PT_child,vru,0,1,ar_start_trigger,,,,,5.1,1.98,3.02,2535.0,11.24,15.531,tt1,0,,0.872,2.390,2.040,1,decel_onset,0,0,0,0,0,3.827,0.190,vru,
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/83-VUT 60 kph; CPNCO-25 5 kph AEB (Day)/V3_T83_R1.txt,GAC_A66,CPNCO,Guang_Qi_A66_data\2-C-NCAP VRU 2024 (VUT)\17-CPNCO [O.6.1.7]\18-CPNCO-25 5 kph AEB (Day)\83-VUT 60 kph; CPNCO-25 5 kph AEB (Day),labels_v0.3,60.0,5.0,25.0,day,,PT_child,vru,0,1,ar_start_trigger,,,,,5.1,1.98,3.02,2535.0,16.79,10.121,tt1,1,3.540,0.155,3.540,2.040,1,decel_onset,1,0,1,0,0,-0.018,0.745,vru,collision_without_abort_flag
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/20-CPFAO-25 6.5 kph AEB (Day)/68-VUT 20 kph; CPFAO-25 6.5 kph AEB (Day)/V3_T68_R1.txt,GAC_A66,CPFAO,Guang_Qi_A66_data\2-C-NCAP VRU 2024 (VUT)\19-CPFAO [O.6.1.8]\20-CPFAO-25 6.5 kph AEB (Day)\68-VUT 20 kph; CPFAO-25 6.5 kph AEB (Day),labels_v0.3,20.0,6.5,25.0,day,,PT_adult,vru,0,1,ar_start_trigger,,,,,5.1,1.98,3.02,2535.0,5.70,22.732,tt1,0,,0.728,2.320,2.250,1,decel_onset,0,0,0,0,0,2.474,0.865,vru,
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/20-CPFAO-25 6.5 kph AEB (Day)/77-VUT 40 kph; CPFAO-25 6.5 kph AEB (Day)/V3_T77_R1.txt,GAC_A66,CPFAO,Guang_Qi_A66_data\2-C-NCAP VRU 2024 (VUT)\19-CPFAO [O.6.1.8]\20-CPFAO-25 6.5 kph AEB (Day)\77-VUT 40 kph; CPFAO-25 6.5 kph AEB (Day),labels_v0.3,40.0,6.5,25.0,day,,PT_adult,vru,0,1,ar_start_trigger,,,,,5.1,1.98,3.02,2535.0,11.24,13.321,tt1,0,,0.968,2.210,1.960,1,decel_onset,0,0,0,0,0,4.776,0.351,vru,
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/20-CPFAO-25 6.5 kph AEB (Day)/86-VUT 60 kph; CPFAO-25 6.5 kph AEB (Day)/V3_T86_R1.txt,GAC_A66,CPFAO,Guang_Qi_A66_data\2-C-NCAP VRU 2024 (VUT)\19-CPFAO [O.6.1.8]\20-CPFAO-25 6.5 kph AEB (Day)\86-VUT 60 kph; CPFAO-25 6.5 kph AEB (Day),labels_v0.3,60.0,6.5,25.0,day,,PT_adult,vru,0,1,ar_start_trigger,,,,,5.1,1.98,3.02,2535.0,16.79,10.931,tt1,0,,0.849,2.870,1.840,1,decel_onset,0,0,0,0,0,3.528,0.665,vru,
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/71-VUT 20 kph; CPFAO-25 6.5 kph AEB (Night)/V3_T71_R1.txt,GAC_A66,CPFAO,Guang_Qi_A66_data\2-C-NCAP VRU 2024 (VUT)\19-CPFAO [O.6.1.8]\21-CPFAO-25 6.5 kph AEB (Night)\71-VUT 20 kph; CPFAO-25 6.5 kph AEB (Night),labels_v0.3,20.0,6.5,25.0,night,,PT_adult,vru,0,1,ar_start_trigger,,,,,5.1,1.98,3.02,2535.0,5.67,15.501,tt1,0,,0.567,2.510,2.390,1,decel_onset,0,0,0,0,0,1.692,0.274,vru,
