rel_path,brand,scenario_acronym,condition_id,T0,T0_method,collision,t_collision_rel,E1,E2,E3,E4,min_ttc,t_min_ttc_rel,t_aeb_rel,aeb_method,min_dist,dy_at_min,outcome,verdict,note
Guang_Qi_A66_data/3-C-NCAP ADAS 2024 (VUT)/38-CCFT [L.6.1.9]/39-AEB/40-Farside/41-GVT 20 kph/260-VUT 10 kph; CCFT 20 kph AEB/V3_T260_R1.txt,GAC_A66,CCFT,Guang_Qi_A66_data\3-C-NCAP ADAS 2024 (VUT)\38-CCFT [L.6.1.9]\39-AEB\40-Farside\41-GVT 20 kph\260-VUT 10 kph; CCFT 20 kph AEB,25.262,tt1,1,3.090,1,0,1,0,0.345,3.090,,,-9.718,6.699,collision,,
Guang_Qi_E8_data/10-L6.1.9-CCFT-VUT/185-L6.1.9-CCFT-VUT-10.5kph-for/V5_T185_R1.txt,GAC_E8,CCFT,Guang_Qi_E8_data\10-L6.1.9-CCFT-VUT\185-L6.1.9-CCFT-VUT-10.5kph-for,8.040,tt1,1,1.960,1,0,1,0,0.106,1.960,1.950,decel_onset,-1.734,1.945,collision,,
Guang_Qi_S9_data/2-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/100-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V4_T100_R1.txt,GAC_S9,SCPO,Guang_Qi_S9_data\2-C-NCAP ADAS 2024 (VUT)\30-SCPO [L.6.1.8]\31-FCW\35-Nearside\37-GVT 50 kph\100-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW,22.340,tt1,1,3.100,1,1,1,0,0.093,3.100,2.270,decel_onset,-4.622,18.916,collision,,
XPengP7+_data/2-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/33-VUT 40 kph; CCRs -50 % AEB/V2_T33_R1.txt,XPENG_P7PLUS,CCRs,XPengP7+_data\2-C-NCAP ADAS 2024 (VUT)\9-CCR [L.6.1]\10-AEB\11-CCRs\33-VUT 40 kph; CCRs -50 % AEB,18.550,tt1,1,3.140,1,0,1,0,0.118,3.140,2.200,decel_onset,-2.357,0.814,collision,,
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/14-CPLA-25 5 kph FCW (Day)/59-VUT 80 kph; CPLA-25 5 kph FCW (Day)/V3_T59_R3.txt,GAC_A66,CPLA,Guang_Qi_A66_data\2-C-NCAP VRU 2024 (VUT)\12-CPLA [O.6.1.6]\14-CPLA-25 5 kph FCW (Day)\59-VUT 80 kph; CPLA-25 5 kph FCW (Day),6.980,tt1,1,3.240,1,0,1,0,0.026,3.240,1.390,decel_onset,-5.837,0.309,collision,,
Guang_Qi_E8_data/8-L6.1.5-CCRs-VUT/5-L6.1.5-CCRS-VUT-FCW/7-L6.1.5-CCRs-VUT-FCW/163-L6.1.5-CCRs-VUT-FCW-70kph-(+50%)/V5_T163_R1.txt,GAC_E8,CCRs,Guang_Qi_E8_data\8-L6.1.5-CCRs-VUT\5-L6.1.5-CCRS-VUT-FCW\7-L6.1.5-CCRs-VUT-FCW\163-L6.1.5-CCRs-VUT-FCW-70kph-(+50%),17.160,tt1,1,2.060,1,1,1,0,0.109,2.060,0.390,decel_onset,-3.353,1.729,collision,,
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/32-CBLA [O.6.2.7]/34-CBLA-25 15 kph FCW (Day)/122-VUT 60 kph; CBLA-25 15 kph FCW (Day)/V3_T122_R1.txt,GAC_A66,CBLA,Guang_Qi_A66_data\2-C-NCAP VRU 2024 (VUT)\32-CBLA [O.6.2.7]\34-CBLA-25 15 kph FCW (Day)\122-VUT 60 kph; CBLA-25 15 kph FCW (Day),15.721,tt1,0,,0,0,1,0,0.034,2.990,,,0.398,2.437,near_zero_flagged,,
Guang_Qi_E8_data/10-L6.1.9-CCFT-VUT/180-L6.1.9-CCFT-VUT-10.5kph-cal/V5_T180_R2.txt,GAC_E8,CCFT,Guang_Qi_E8_data\10-L6.1.9-CCFT-VUT\180-L6.1.9-CCFT-VUT-10.5kph-cal,7.070,tt1,0,,0,0,1,0,0.031,6.530,,,-9.534,107.663,near_zero_flagged,,
Guang_Qi_S9_data/2-C-NCAP ADAS 2024 (VUT)/38-CCFT [L.6.1.9]/39-AEB/40-Farside/41-GVT 20 kph/104-VUT 10 kph; CCFT 20 kph AEB/V4_T104_R1.txt,GAC_S9,CCFT,Guang_Qi_S9_data\2-C-NCAP ADAS 2024 (VUT)\38-CCFT [L.6.1.9]\39-AEB\40-Farside\41-GVT 20 kph\104-VUT 10 kph; CCFT 20 kph AEB,36.570,tt1,0,,0,0,1,0,0.039,1.860,,,-6.368,94.264,near_zero_flagged,,
XPengP7+_data/9-C-NCAP VRU 2024 (VUT)/22-CPTA-LN [O.6.1.9]/23-CPTA-LN 5 kph AEB (Day)/1173-VUT 20 kph; CPTA-LN 5 kph AEB (Day)/V2_T1173_R1.txt,XPENG_P7PLUS,CPTA,XPengP7+_data\9-C-NCAP VRU 2024 (VUT)\22-CPTA-LN [O.6.1.9]\23-CPTA-LN 5 kph AEB (Day)\1173-VUT 20 kph; CPTA-LN 5 kph AEB (Day),20.390,tt1,0,,0,0,1,0,0.006,3.090,3.020,decel_onset,-3.831,0.770,near_zero_flagged,,
