run,vehicle,scenario,event_status,sha256,operator_label,onset_s,onset_speed_kph,travel_pre_mm,travel_win_mm,force_min_pre,force_max_pre,force_min_win,force_max_win,cmd_abs_max_pre2,cmd_abs_max_pre5,cmd_abs_max_win,cmd_active_frac_win,cmd_first_active_rel_s,pre_pulse_gap_s,tension,foot_pre_event,screen_flag_noisy,signature,screen_class
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/518-VUT 40 kph; CPLA-50 5 kph (Day)/V13_T518_R3.txt,13-xiaopengG9,CPLA,br_zero_observed_braking,b18f90763d87c092e6c3f11a2ef7476740071a1355b517f11f64301c17348b00,,30.47,39.78,0.034,25.572,-16.0,16.39,-66.18,66.15,0.0,0.0,0.0,0.0,,,1,0,,drag_then_foot_adjudicate,drag_then_foot_adjudicate
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/5-Pedestrian Farside Scenarios/6-CPFA-50 8 kph (Day) [7.2.4]/308-VUT 20 kph; CPFA-50 8 kph (Day)/V13_T308_R2.txt,13-xiaopengG9,CPFA,br_zero_observed_braking,3f0b4643c8cba22dcfd85f21e637bce8fd09e16240c72a710342402238ed5425,,18.96,20.11,0.014,31.564,-36.89,21.19,-79.84,69.94,0.0,0.0,0.0,0.0,,,1,0,,drag_then_foot_adjudicate,drag_then_foot_adjudicate
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/5-Pedestrian Farside Scenarios/6-CPFA-50 8 kph (Day) [7.2.4]/320-VUT 40 kph; CPFA-50 8 kph (Day)/V13_T320_R1.txt,13-xiaopengG9,CPFA,br_zero_observed_braking,9bef6e2d5a20f4e8a009aefac3893aef9cecf1cd85a28c26bd69146ab22c1cc6,,12.19,40.12,0.013,32.333,0.68,57.94,66.94,246.73,0.0,0.0,0.0,0.0,,,0,0,,foot_compression,foot_compression
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/5-Pedestrian Farside Scenarios/6-CPFA-50 8 kph (Day) [7.2.4]/332-VUT 60 kph; CPFA-50 8 kph (Day)/V13_T332_R2.txt,13-xiaopengG9,CPFA,br_zero_observed_braking,d9853ba71ad8bb165fdefc67eaf5f16cd7680eb185b2ece633857cb5cd5c3fb6,none_confirmed,13.37,60.15,0.019,32.364,-37.09,23.47,-84.47,75.01,0.0,0.0,0.0,0.0,,,1,0,,drag_then_foot_adjudicate,drag_then_foot_adjudicate
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/7-Pedestrian Nearside Scenarios/8-CPNA-25 5 kph (Day) [7.2.5]/341-VUT 20 kph; CPNA-25 5 kph (Day)/V13_T341_R1.txt,13-xiaopengG9,CPNA,br_zero_observed_braking,7814d4bfa1c3c6b3298331ba59d76221029d36df53299e2899075881a2425b8e,,19.37,20.13,0.01,26.779,-43.87,13.73,-77.82,88.73,0.0,0.0,0.0,0.0,,,1,0,,drag_then_foot_adjudicate,drag_then_foot_adjudicate
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/7-Pedestrian Nearside Scenarios/8-CPNA-25 5 kph (Day) [7.2.5]/365-VUT 60 kph; CPNA-25 5 kph (Day)/V13_T365_R1.txt,13-xiaopengG9,CPNA,br_zero_observed_braking,208f344e2db255449744475fb8cb5525537fa2b88e91f3694e4c83aa8361412b,,13.21,60.15,0.012,30.163,-40.87,13.71,-78.86,290.32,0.0,0.0,0.0,0.0,,,1,0,,drag_then_foot_adjudicate,drag_then_foot_adjudicate
15-TANG L-CNCAP2024/26-C-NCAP VRU 2024 (VUT)/26-CPTA-RF [O.6.1.11]/27-CPTA-RF 6.5 kph AEB (Day)/5216-VUT 20 kph; CPTA-RF 6.5 kph AEB (Day)/V15_T5216_R5.txt,15-TANG L-CNCAP2024,CPTA,br_zero_observed_braking,da7819955c1fd65173f5071d7e90311182141fc86619ca5e519054c3606547f4,,33.04,20.6,1.609,60.961,0.74,28.62,24.13,69.47,0.0,0.0,0.0,0.0,,,0,0,,foot_compression,foot_compression
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB-CIASI/11-CCRs/226-VUT 50 kph; CCRs -50 % AEB (1)/V9_T226_R3.txt,9-BZ7,CCRS,br_zero_observed_braking,21d63b9e81ef3436781607b26b19d3b6c55723646eb4ac3d2373f5a85d75ad08,,18.82,50.24,0.034,35.359,0.31,6.52,0.32,51.38,0.0,0.0,0.0,0.0,,,0,0,,foot_compression,foot_compression
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB-CIASI/11-CCRs/226-VUT 50 kph; CCRs -50 % AEB/V9_T226_R3.txt,9-BZ7,CCRS,br_zero_observed_braking,21d63b9e81ef3436781607b26b19d3b6c55723646eb4ac3d2373f5a85d75ad08,,18.82,50.24,0.034,35.359,0.31,6.52,0.32,51.38,0.0,0.0,0.0,0.0,,,0,0,,foot_compression,foot_compression
9-BZ7/7-C-IASI VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/20-CPFAO-50  5kph AEB(night)/448-VUT 40 kph; CPFAO-50 (1)/V9_T448_R4.txt,9-BZ7,AEB,br_zero_observed_braking,8fbf3379923753a198cc6a6f1db4e0ad717aeb8587a04f92c403b52e030076f4,,23.49,39.42,0.016,36.068,-2.51,2.96,0.48,154.36,0.0,0.0,0.0,0.0,,,0,0,,foot_compression,foot_compression
9-BZ7/7-C-IASI VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/20-CPFAO-50  5kph AEB(night)/448-VUT 40 kph; CPFAO-50/V9_T448_R4.txt,9-BZ7,AEB,br_zero_observed_braking,8fbf3379923753a198cc6a6f1db4e0ad717aeb8587a04f92c403b52e030076f4,,23.49,39.42,0.016,36.068,-2.51,2.96,0.48,154.36,0.0,0.0,0.0,0.0,,,0,0,,foot_compression,foot_compression
