run,vehicle,scenario,sha256,signature,onset_s,onset_speed_kph,travel_win_mm,force_min_win,force_max_win,cmd_abs_max_win,tension,screen_flag_noisy,operator_label
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/280-AEB CCRs 20 kph -50 %/V13_T280_R1.txt,13-xiaopengG9,CCRS,e21245be31493f6b7de8ca3b21df5ec1fd0e82203482653f8866b2017d625584,aeb_pedal_dragged,57.61,20.48,34.209,-27.29,48.05,0.0,1,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/283-AEB CCRs 30 kph +50 %/V13_T283_R1.txt,13-xiaopengG9,CCRS,72a9f3c6aec88579abbc5b5e57c1fe3f9f529809754e418a677d98c099dfa32b,aeb_pedal_dragged,35.67,29.91,31.588,-56.73,43.83,0.0,1,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/286-AEB CCRs 40 kph -50 %/V13_T286_R1.txt,13-xiaopengG9,CCRS,e4ef4d6eaeb6b742707eb90b39840ae6a175a64961650de86f6a643402b91580,aeb_pedal_dragged,26.08,40.03,33.01,-67.32,40.08,0.0,1,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/13-Tyres (3x10 @ 56 kph) [8.1.3.1]/V13_T13_R14.txt,13-xiaopengG9,AEB,5cc6c8dcef7a2db5782562e315176bdff9fbacff093b1800d9cc31845abf1cef,aeb_pedal_static,11.03,55.07,0.001,21.29,26.73,0.035,0,1,
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/506-VUT 20 kph; CPLA-50 5 kph (Day)/V13_T506_R1.txt,13-xiaopengG9,CPLA,d1c2a66006af9df6821b483a900ed893958706ec9c9c51bee355d7c7b40ad958,aeb_pedal_dragged,25.16,20.15,23.788,-88.05,63.11,0.0,1,,
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/506-VUT 20 kph; CPLA-50 5 kph (Day)/V13_T506_R2.txt,13-xiaopengG9,CPLA,e08f168ccf989d89b376987f8ca112a60e628729a2b25f3549247d95d2a80d89,aeb_pedal_dragged,30.66,20.14,24.133,-65.66,48.25,0.0,1,,
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/518-VUT 40 kph; CPLA-50 5 kph (Day)/V13_T518_R1.txt,13-xiaopengG9,CPLA,218879aa0175b870f1545fb71003467c27828220a3e4c52a96f75fba5f31edab,aeb_pedal_dragged,0.29,39.73,24.888,-45.43,29.33,0.0,1,,
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/518-VUT 40 kph; CPLA-50 5 kph (Day)/V13_T518_R2.txt,13-xiaopengG9,CPLA,a8cbcce81c1ff60fddb6ed0014866ad697da5b3dd38a7eff8cb948e15aa73083,aeb_pedal_dragged,23.77,39.91,24.5,-36.43,45.59,0.0,1,,none_confirmed
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/530-VUT 60 kph; CPLA-50 5 kph (Day)/V13_T530_R1.txt,13-xiaopengG9,CPLA,0bd7817ad2d141994f931f858ad2827e4fe381985e48e007f1906dd91e728a62,aeb_pedal_dragged,6.04,61.75,37.588,-40.39,35.71,0.0,1,,
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/28-Bicyclist Farside Scenarios/29-CBFA-50 20 kph (Day) [7.2.12]/670-VUT 30 kph; CBFA-50 20 kph (Day)/V13_T670_R1.txt,13-xiaopengG9,CBFA,a808fa2ff77c6a773310523668d82247273b14307811ae3cfa24af38e75940e7,aeb_pedal_static,15.83,30.22,0.0,-68.62,42.29,0.0,1,,
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/28-Bicyclist Farside Scenarios/29-CBFA-50 20 kph (Day) [7.2.12]/670-VUT 30 kph; CBFA-50 20 kph (Day)/V13_T670_R2.txt,13-xiaopengG9,CBFA,a76b73932c303140dafa0deef35768926c77239324fe6a962fe0b6b2cb97be0a,aeb_pedal_dragged,15.52,30.27,32.251,-72.32,41.49,0.0,1,,
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/28-Bicyclist Farside Scenarios/29-CBFA-50 20 kph (Day) [7.2.12]/676-VUT 40 kph; CBFA-50 20 kph (Day)/V13_T676_R1.txt,13-xiaopengG9,CBFA,885a113d9d4f20356a8f95521f91004494a13ccb6da76d2ca8426a29a249e822,aeb_pedal_dragged,11.45,40.09,25.566,-68.7,41.64,0.0,1,,
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/28-Bicyclist Farside Scenarios/29-CBFA-50 20 kph (Day) [7.2.12]/676-VUT 40 kph; CBFA-50 20 kph (Day)/V13_T676_R2.txt,13-xiaopengG9,CBFA,727e107d362e0a106224ac2fd9040e07b58916a8799345249c219721b904b9ad,aeb_pedal_dragged,11.34,40.18,22.399,-58.62,55.5,0.0,1,,
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/28-Bicyclist Farside Scenarios/29-CBFA-50 20 kph (Day) [7.2.12]/688-VUT 60 kph; CBFA-50 20 kph (Day)/V13_T688_R2.txt,13-xiaopengG9,CBFA,13063329f6e1feecacc34b0ceb924f09b958b4f40f4ef41eee3dcee16e54d76c,aeb_pedal_static,14.53,48.45,1.191,36.24,109.84,0.0,0,,
