run,vehicle,scenario,sha256,signature,onset_s,onset_speed_kph,travel_win_mm,force_min_win,force_max_win,cmd_abs_max_win,tension,screen_flag_noisy,operator_label,removal_reason
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/13-Tyres (3x10 @ 56 kph) [8.1.3.1]/V13_T13_R14.txt,13-xiaopengG9,AEB,5cc6c8dcef7a2db5782562e315176bdff9fbacff093b1800d9cc31845abf1cef,aeb_pedal_static,11.03,55.07,0.001,21.29,26.73,0.035,0,1,,foot_pre_event
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/530-VUT 60 kph; CPLA-50 5 kph (Day)/V13_T530_R1.txt,13-xiaopengG9,CPLA,0bd7817ad2d141994f931f858ad2827e4fe381985e48e007f1906dd91e728a62,aeb_pedal_dragged,6.04,61.75,37.588,-40.39,35.71,0.0,1,,,foot_pre_event
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/28-Bicyclist Farside Scenarios/29-CBFA-50 20 kph (Day) [7.2.12]/688-VUT 60 kph; CBFA-50 20 kph (Day)/V13_T688_R2.txt,13-xiaopengG9,CBFA,13063329f6e1feecacc34b0ceb924f09b958b4f40f4ef41eee3dcee16e54d76c,aeb_pedal_static,14.53,48.45,1.191,36.24,109.84,0.0,0,,,foot_pre_event
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/26-CPTA-RF [O.6.1.11]/27-CPTA-RF 6.5 kph AEB (Day)/521-VUT 10 kph; CPTA-RF 6.5 kph AEB (Day)/V14_T521_R1.txt,14-BZ3X,CPTA,8feebc0080c11d405e4808552eaa2311f915f83eb788bd527f26406bae8b826f,aeb_pedal_static,46.83,9.69,0.0,-0.01,0.01,0.015,0,1,,foot_pre_event
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/26-CPTA-RF [O.6.1.11]/27-CPTA-RF 6.5 kph AEB (Day)/524-VUT 20 kph; CPTA-RF 6.5 kph AEB (Day)/V14_T524_R1.txt,14-BZ3X,CPTA,7427ec185df7534ffc7d40d9add47f2c95c8dbcf3e60933579e9e403bb58cfd8,aeb_pedal_static,39.42,20.65,0.0,-0.01,0.01,0.063,0,1,,foot_pre_event
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/30-CSFAO [O.6.2.6]/31-CSFAO-50 20 kph AEB (Day)/1804-VUT 5 kph; FCTB-50 20 kph AEB (Day)-ENCAP/V14_T1804_R5.txt,14-BZ3X,AEB,c71e80abc6f0483f776df133bb72484ede171bd48b36057b32970956bfd85ec5,aeb_pedal_dragged,10.35,10.6,48.274,-15.04,17.45,0.0,1,,,foot_pre_event
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/30-CSFAO [O.6.2.6]/31-CSFAO-50 20 kph AEB (Day)/1804-VUT 5 kph; FCTB-50 20 kph AEB (Day)-ENCAP/V14_T1804_R6.txt,14-BZ3X,AEB,f0930bc8a6607addafaf256a7e6403165325511ce625c9205659be707a9401b6,aeb_pedal_dragged,10.38,10.7,42.95,-42.3,42.01,0.0,1,,,foot_pre_event
15-TANG L-CNCAP2024/26-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/13-CPLA-25 5 kph AEB (Day)/5144-VUT 20 kph; CPLA-25 5 kph AEB (Day)/V15_T5144_R1.txt,15-TANG L-CNCAP2024,CPLA,59a5564ba2f5ec50bd6edcec75e9b1ef64c6de585b1f3bad6eff54675e1c9736,aeb_pedal_dragged,21.78,20.35,34.569,-2.29,35.15,0.0,0,,,no_tension_force_ge_30n
15-TANG L-CNCAP2024/26-C-NCAP VRU 2024 (VUT)/32-CBLA [O.6.2.7]/33-CBLA-25 15 kph AEB (Day)/5219-VUT 20 kph; CBLA-25 15 kph AEB (Day)/V15_T5219_R1.txt,15-TANG L-CNCAP2024,CBLA,938dcd0134bf567348f7ae35c1b1b67c39fac71d8b717ae504d4a735cc4d9a3d,aeb_pedal_dragged,16.96,19.95,37.128,-4.91,43.11,0.033,0,1,,no_tension_force_ge_30n
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/16-AEB/17-Farside/19-GVT 30 kph/106-VUT 40 kph; CCScp Farside GVT 30 kph AEB/V8_T106_R2.txt,8-huajingS,SCP,f32020e052fdc5e42786490e4b00d84eb26c110ed54839368ef992c679c2c780,aeb_pedal_dragged,18.8,40.35,20.534,-0.3,39.06,0.044,0,1,,no_tension_force_ge_30n
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB-CNCAP/11-CCRs/55-VUT 30 kph; CCRs 50 % AEB (1)/V9_T55_R3.txt,9-BZ7,CCRS,4634a17c4fb118675f230a295b9ed6a0d634b529baf055e30681349887cc5864,aeb_pedal_dragged,19.63,29.31,20.907,1.15,32.92,0.0,0,,,no_tension_force_ge_30n
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB-CNCAP/11-CCRs/58-VUT 40 kph; CCRs -50 % AEB (1)/V9_T58_R3.txt,9-BZ7,CCRS,d4f2dcf5a9f0631144db5eed360b1645b094821f75b81b196fdfe51ccf7349d2,aeb_pedal_dragged,18.68,39.41,32.711,1.06,30.0,0.0,0,,,no_tension_force_ge_30n
