run,rel_dist_at_onset_m,min_rel_dist_m,min_rel_dist_rel_s,first_contact_rel_s,speed_at_first_contact_kph,outcome
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/280-AEB CCRs 20 kph -50 %/V13_T280_R1.txt,3.703,1.602,0.66,,,clear
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/283-AEB CCRs 30 kph +50 %/V13_T283_R1.txt,5.891,1.295,0.97,,,clear
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/286-AEB CCRs 40 kph -50 %/V13_T286_R1.txt,9.74,1.968,1.24,,,clear
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/506-VUT 20 kph; CPLA-50 5 kph (Day)/V13_T506_R1.txt,2.957,-0.054,2.02,1.88,7.73,contact_and_stopped
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/506-VUT 20 kph; CPLA-50 5 kph (Day)/V13_T506_R2.txt,2.0,0.6,0.54,,,clear
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/518-VUT 40 kph; CPLA-50 5 kph (Day)/V13_T518_R1.txt,9.18,3.723,1.04,,,clear
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/518-VUT 40 kph; CPLA-50 5 kph (Day)/V13_T518_R2.txt,9.47,3.811,1.06,,,clear
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/518-VUT 40 kph; CPLA-50 5 kph (Day)/V13_T518_R3.txt,9.469,3.233,1.13,,,clear
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/530-VUT 60 kph; CPLA-50 5 kph (Day)/V13_T530_R1.txt,17.175,3.4,1.64,,,clear
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/28-Bicyclist Farside Scenarios/29-CBFA-50 20 kph (Day) [7.2.12]/670-VUT 30 kph; CBFA-50 20 kph (Day)/V13_T670_R1.txt,4.534,-0.158,0.99,0.81,6.83,contact_and_stopped
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/28-Bicyclist Farside Scenarios/29-CBFA-50 20 kph (Day) [7.2.12]/670-VUT 30 kph; CBFA-50 20 kph (Day)/V13_T670_R2.txt,5.086,0.32,0.99,,,near_contact_0_5
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/28-Bicyclist Farside Scenarios/29-CBFA-50 20 kph (Day) [7.2.12]/676-VUT 40 kph; CBFA-50 20 kph (Day)/V13_T676_R1.txt,6.791,-0.87,1.25,0.84,15.18,contact_and_stopped
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/28-Bicyclist Farside Scenarios/29-CBFA-50 20 kph (Day) [7.2.12]/676-VUT 40 kph; CBFA-50 20 kph (Day)/V13_T676_R2.txt,7.67,-0.235,1.28,1.07,7.66,contact_and_stopped
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/28-Bicyclist Farside Scenarios/29-CBFA-50 20 kph (Day) [7.2.12]/688-VUT 60 kph; CBFA-50 20 kph (Day)/V13_T688_R2.txt,-5.744,-24.299,2.37,-0.42,49.89,passed_or_swept
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/30-Bicyclist Nearside Scenarios/31-CBNA-50 15 kph (Day) [7.2.10]/697-VUT 20 kph; CBNA-50 15 kph (Day)/V13_T697_R1.txt,3.037,0.83,0.69,,,clear
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/30-Bicyclist Nearside Scenarios/31-CBNA-50 15 kph (Day) [7.2.10]/709-VUT 40 kph; CBNA-50 15 kph (Day)/V13_T709_R1.txt,8.692,1.51,1.22,,,clear
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/30-Bicyclist Nearside Scenarios/31-CBNA-50 15 kph (Day) [7.2.10]/721-VUT 60 kph; CBNA-50 15 kph (Day)/V13_T721_R1.txt,16.72,-0.228,1.86,1.65,7.96,contact_and_stopped
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/33-Bicyclist Longitudinal Scenarios/34-CBLA-50 15kph (Day) [7.2.13]/757-VUT 20 kph; CBLA-50 15 kph (Day)/V13_T757_R1.txt,0.601,0.493,0.2,,,near_contact_0_5
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/33-Bicyclist Longitudinal Scenarios/34-CBLA-50 15kph (Day) [7.2.13]/766-VUT 40 kph; CBLA-50 15 kph (Day)/V13_T766_R2.txt,5.504,2.036,0.87,,,clear
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/33-Bicyclist Longitudinal Scenarios/34-CBLA-50 15kph (Day) [7.2.13]/766-VUT 40 kph; CBLA-50 15 kph (Day)/V13_T766_R3.txt,5.598,2.143,0.86,,,clear
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/5-Pedestrian Farside Scenarios/6-CPFA-50 8 kph (Day) [7.2.4]/308-VUT 20 kph; CPFA-50 8 kph (Day)/V13_T308_R1.txt,3.664,-1.664,2.48,1.21,6.9,contact_and_stopped
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/5-Pedestrian Farside Scenarios/6-CPFA-50 8 kph (Day) [7.2.4]/308-VUT 20 kph; CPFA-50 8 kph (Day)/V13_T308_R2.txt,1.856,-0.344,0.69,0.42,9.22,contact_and_stopped
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/5-Pedestrian Farside Scenarios/6-CPFA-50 8 kph (Day) [7.2.4]/308-VUT 20 kph; CPFA-50 8 kph (Day)/V13_T308_R3.txt,2.998,0.81,0.7,,,clear
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/5-Pedestrian Farside Scenarios/6-CPFA-50 8 kph (Day) [7.2.4]/308-VUT 20 kph; CPFA-50 8 kph (Day)/V13_T308_R4.txt,3.348,1.091,0.69,,,clear
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/5-Pedestrian Farside Scenarios/6-CPFA-50 8 kph (Day) [7.2.4]/320-VUT 40 kph; CPFA-50 8 kph (Day)/V13_T320_R1.txt,-0.754,-8.743,1.33,-0.06,40.2,passed_or_swept
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/5-Pedestrian Farside Scenarios/6-CPFA-50 8 kph (Day) [7.2.4]/320-VUT 40 kph; CPFA-50 8 kph (Day)/V13_T320_R2.txt,8.956,1.068,1.29,,,clear
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/5-Pedestrian Farside Scenarios/6-CPFA-50 8 kph (Day) [7.2.4]/320-VUT 40 kph; CPFA-50 8 kph (Day)/V13_T320_R3.txt,9.047,1.061,1.26,,,clear
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/5-Pedestrian Farside Scenarios/6-CPFA-50 8 kph (Day) [7.2.4]/332-VUT 60 kph; CPFA-50 8 kph (Day)/V13_T332_R1.txt,16.889,0.331,1.85,,,near_contact_0_5
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/5-Pedestrian Farside Scenarios/6-CPFA-50 8 kph (Day) [7.2.4]/332-VUT 60 kph; CPFA-50 8 kph (Day)/V13_T332_R2.txt,10.673,-7.77,2.43,0.75,39.11,passed_or_swept
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/7-Pedestrian Nearside Scenarios/8-CPNA-25 5 kph (Day) [7.2.5]/341-VUT 20 kph; CPNA-25 5 kph (Day)/V13_T341_R1.txt,3.643,-1.874,2.01,1.0,10.56,contact_and_stopped
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/7-Pedestrian Nearside Scenarios/8-CPNA-25 5 kph (Day) [7.2.5]/341-VUT 20 kph; CPNA-25 5 kph (Day)/V13_T341_R2.txt,3.889,1.671,0.71,,,clear
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/7-Pedestrian Nearside Scenarios/8-CPNA-25 5 kph (Day) [7.2.5]/353-VUT 40 kph; CPNA-25 5 kph (Day)/V13_T353_R1.txt,9.211,0.966,1.33,,,clear
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/7-Pedestrian Nearside Scenarios/8-CPNA-25 5 kph (Day) [7.2.5]/365-VUT 60 kph; CPNA-25 5 kph (Day)/V13_T365_R1.txt,13.919,-7.939,2.24,0.97,44.4,passed_or_swept
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/7-Pedestrian Nearside Scenarios/8-CPNA-25 5 kph (Day) [7.2.5]/365-VUT 60 kph; CPNA-25 5 kph (Day)/V13_T365_R2.txt,18.077,1.094,1.89,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/13-CPLA-25 5 kph AEB (Day)/452-VUT 20 kph; CPLA-25 5 kph AEB (Day)/V14_T452_R1.txt,3.299,1.671,0.64,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/13-CPLA-25 5 kph AEB (Day)/452-VUT 20 kph; CPLA-25 5 kph AEB (Day)/V14_T452_R2.txt,2.682,1.164,0.6,,,clear
