run,vehicle,scenario,event_status,sha256,operator_label,onset_s,onset_speed_kph,travel_pre_mm,travel_win_mm,force_min_pre,force_max_pre,force_min_win,force_max_win,cmd_abs_max_pre2,cmd_abs_max_pre5,cmd_abs_max_win,cmd_active_frac_win,cmd_first_active_rel_s,pre_pulse_gap_s,tension,foot_pre_event,screen_flag_noisy,signature,screen_class
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/280-AEB CCRs 20 kph -50 %/V13_T280_R1.txt,13-xiaopengG9,CCRS,br_zero_observed_braking,e21245be31493f6b7de8ca3b21df5ec1fd0e82203482653f8866b2017d625584,,57.61,20.48,0.014,34.209,-40.51,5.18,-27.29,48.05,0.0,0.0,0.0,0.0,,,1,0,,aeb_pedal_dragged,aeb_pedal_dragged
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/283-AEB CCRs 30 kph +50 %/V13_T283_R1.txt,13-xiaopengG9,CCRS,br_zero_observed_braking,72a9f3c6aec88579abbc5b5e57c1fe3f9f529809754e418a677d98c099dfa32b,,35.67,29.91,0.008,31.588,-16.03,3.41,-56.73,43.83,0.0,0.0,0.0,0.0,,,1,0,,aeb_pedal_dragged,aeb_pedal_dragged
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/286-AEB CCRs 40 kph -50 %/V13_T286_R1.txt,13-xiaopengG9,CCRS,br_zero_observed_braking,e4ef4d6eaeb6b742707eb90b39840ae6a175a64961650de86f6a643402b91580,,26.08,40.03,0.011,33.01,-11.89,2.79,-67.32,40.08,0.0,0.0,0.0,0.0,,,1,0,,aeb_pedal_dragged,aeb_pedal_dragged
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/506-VUT 20 kph; CPLA-50 5 kph (Day)/V13_T506_R1.txt,13-xiaopengG9,CPLA,br_zero_observed_braking,d1c2a66006af9df6821b483a900ed893958706ec9c9c51bee355d7c7b40ad958,,25.16,20.15,0.019,23.788,-45.56,13.62,-88.05,63.11,0.0,0.0,0.0,0.0,,,1,0,,aeb_pedal_dragged,aeb_pedal_dragged
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/506-VUT 20 kph; CPLA-50 5 kph (Day)/V13_T506_R2.txt,13-xiaopengG9,CPLA,br_zero_observed_braking,e08f168ccf989d89b376987f8ca112a60e628729a2b25f3549247d95d2a80d89,,30.66,20.14,0.015,24.133,-27.84,28.07,-65.66,48.25,0.0,0.0,0.0,0.0,,,1,0,,aeb_pedal_dragged,aeb_pedal_dragged
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/518-VUT 40 kph; CPLA-50 5 kph (Day)/V13_T518_R1.txt,13-xiaopengG9,CPLA,br_zero_observed_braking,218879aa0175b870f1545fb71003467c27828220a3e4c52a96f75fba5f31edab,,0.29,39.73,1.263,24.888,-30.79,0.42,-45.43,29.33,0.0,0.0,0.0,0.0,,,1,0,,aeb_pedal_dragged,aeb_pedal_dragged
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/518-VUT 40 kph; CPLA-50 5 kph (Day)/V13_T518_R2.txt,13-xiaopengG9,CPLA,br_zero_observed_braking,a8cbcce81c1ff60fddb6ed0014866ad697da5b3dd38a7eff8cb948e15aa73083,none_confirmed,23.77,39.91,0.014,24.5,-3.89,14.55,-36.43,45.59,0.0,0.0,0.0,0.0,,,1,0,,aeb_pedal_dragged,aeb_pedal_dragged
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/518-VUT 40 kph; CPLA-50 5 kph (Day)/V13_T518_R3.txt,13-xiaopengG9,CPLA,br_zero_observed_braking,b18f90763d87c092e6c3f11a2ef7476740071a1355b517f11f64301c17348b00,,30.47,39.78,0.034,25.572,-16.0,16.39,-66.18,66.15,0.0,0.0,0.0,0.0,,,1,0,,drag_then_foot_adjudicate,drag_then_foot_adjudicate
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/530-VUT 60 kph; CPLA-50 5 kph (Day)/V13_T530_R1.txt,13-xiaopengG9,CPLA,br_zero_observed_braking,0bd7817ad2d141994f931f858ad2827e4fe381985e48e007f1906dd91e728a62,,6.04,61.75,14.889,37.588,-46.61,-0.38,-40.39,35.71,0.0,0.0,0.0,0.0,,,1,1,,aeb_pedal_dragged,aeb_pedal_dragged
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/28-Bicyclist Farside Scenarios/29-CBFA-50 20 kph (Day) [7.2.12]/670-VUT 30 kph; CBFA-50 20 kph (Day)/V13_T670_R1.txt,13-xiaopengG9,CBFA,br_zero_observed_braking,a808fa2ff77c6a773310523668d82247273b14307811ae3cfa24af38e75940e7,,15.83,30.22,0.0,0.0,-36.43,5.94,-68.62,42.29,0.0,0.0,0.0,0.0,,,1,0,,aeb_pedal_static,aeb_pedal_static
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/28-Bicyclist Farside Scenarios/29-CBFA-50 20 kph (Day) [7.2.12]/670-VUT 30 kph; CBFA-50 20 kph (Day)/V13_T670_R2.txt,13-xiaopengG9,CBFA,br_zero_observed_braking,a76b73932c303140dafa0deef35768926c77239324fe6a962fe0b6b2cb97be0a,,15.52,30.27,0.029,32.251,-35.67,4.49,-72.32,41.49,0.0,0.0,0.0,0.0,,,1,0,,aeb_pedal_dragged,aeb_pedal_dragged
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/28-Bicyclist Farside Scenarios/29-CBFA-50 20 kph (Day) [7.2.12]/676-VUT 40 kph; CBFA-50 20 kph (Day)/V13_T676_R1.txt,13-xiaopengG9,CBFA,br_zero_observed_braking,885a113d9d4f20356a8f95521f91004494a13ccb6da76d2ca8426a29a249e822,,11.45,40.09,0.012,25.566,-35.82,18.74,-68.7,41.64,0.0,0.0,0.0,0.0,,,1,0,,aeb_pedal_dragged,aeb_pedal_dragged
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/28-Bicyclist Farside Scenarios/29-CBFA-50 20 kph (Day) [7.2.12]/676-VUT 40 kph; CBFA-50 20 kph (Day)/V13_T676_R2.txt,13-xiaopengG9,CBFA,br_zero_observed_braking,727e107d362e0a106224ac2fd9040e07b58916a8799345249c219721b904b9ad,,11.34,40.18,0.006,22.399,-35.9,7.59,-58.62,55.5,0.0,0.0,0.0,0.0,,,1,0,,aeb_pedal_dragged,aeb_pedal_dragged
