run,vehicle,label,y_aeb,scenario,onset_speed_kph,peak_deceleration_magnitude_mps2,effective_constant_deceleration_distance_mps2,time_onset_to_peak_s,event_duration_s,br_position_travel_mm,brake_force_max_n,jerk_p95_mps3,lateral_velocity_delta_peak_mps,yaw_rate_delta_peak_dps,heading_change_deg,speed_rebound_kph,positive_speed_step_fraction,brake_pulse_count
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/56-VUT 20 kph; CCRs -50 % AEB/V14_T56_R1.txt,14-BZ3X,operator_confirmed_aeb_response,1,CCRS,20.478,11.419,7.718,0.42,0.63,14.429,14.143,57.61427018623501,0.0181133048608899,0.9936393890529873,0.13800048828096578,1.973328828811645,0.07981220657276995,1
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/56-VUT 20 kph; CCRs -50 % AEB/V14_T56_R2.txt,14-BZ3X,operator_confirmed_aeb_response,1,CCRS,20.478,10.388,5.706,0.8,0.82,18.147,7.401,60.89833629392565,0.0176675121765584,0.7124749999493356,0.11077880859403422,2.38779148459435,0.07758620689655173,2
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/38-CCFT [L.6.1.9]/39-AEB/40-Farside/41-GVT 20 kph/133-VUT 10 kph; CCFT 20 kph AEB/V14_T133_R2.txt,14-BZ3X,operator_confirmed_aeb_response,1,CCFT,10.59,10.024,6.201,0.3,0.37,17.284,4.799,62.197205815443326,0.22731722518801722,11.42928862571716,12.915679931640966,2.109142690896986,0.10160427807486631,1
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/22-CPTA-LN [O.6.1.9]/23-CPTA-LN 5 kph AEB (Day)/503-VUT 10 kph; CPTA-LN 5 kph AEB (Day)/V14_T503_R4.txt,14-BZ3X,operator_confirmed_aeb_response,1,CPTA,10.017,6.119,4.796,0.48,0.48,20.102,11.883,50.36839694809443,0.30640620365738847,17.079351663589478,20.285800933837905,1.57615402340889,0.0707070707070707,1
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/56-VUT 20 kph; CCRs -50 % AEB/V14_T56_R3.txt,14-BZ3X,operator_confirmed_aeb_response,1,CCRS,20.488,10.626,5.721,0.76,0.81,15.507,7.315,59.796039564726144,0.02163963299244645,0.9791742712259297,0.09027099609403422,2.4540255665779123,0.06926406926406926,2
Guang_Qi_E8_data/8-L6.1.5-CCRs-VUT/10-L6.1.5-CCRS-VUT-AEB/11-L6.1.5-CCRs-VUT-AEB/170-L6.1.5-CCRs-VUT-AEB-20kph-(-50%)/V5_T170_R1.txt,Guang_Qi_E8_data,operator_confirmed_aeb_response,1,CCRS,20.368,10.922,6.592,0.47,0.71,43.526,2.719,50.8454151236733,0.03480892395600679,1.1078170090913768,0.143310546875,2.4254323244094858,0.08597285067873303,2
Guang_Qi_S9_data/2-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/27-VUT 20 kph; CCRs -50 % AEB/V4_T27_R1.txt,Guang_Qi_S9_data,operator_confirmed_aeb_response,1,CCRS,20.494,9.529,7.267,0.46,0.68,14.934,12.361,64.04609460305016,0.03193173371255395,2.436545651406052,0.45599365234301104,2.608152210712436,0.0871559633027523,2
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/60-VUT 40 kph; CCRs -50 % AEB/V8_T60_R2.txt,8-huajingS,operator_confirmed_aeb_response,1,CCRS,40.156,11.352,8.394,0.83,1.22,25.175,21.578,67.18461752580906,0.04345272434875371,1.8351757749915076,0.42919921875,2.481803536415099,0.0661764705882353,2
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB-CNCAP/11-CCRs/58-VUT 40 kph; CCRs -50 % AEB (1)/V9_T58_R1.txt,9-BZ7,operator_confirmed_aeb_response,1,CCRS,39.443,10.337,8.146,0.51,1.27,23.945,19.571,56.4306017095998,0.06868244335055355,2.8884822018444525,0.22763061523500028,2.55337792634964,0.06859205776173286,2
XPengP7+_data/2-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/16-AEB/17-Farside/18-GVT 20 kph/76-VUT 30 kph; CCScp Farside GVT 20 kph AEB/V2_T76_R1.txt,XPengP7+_data,operator_confirmed_aeb_response,1,SCP,30.511,10.662,7.738,0.41,0.98,33.613,37.633,60.93225622261479,0.04305602703243495,6.382963238283996,0.5750122070309658,2.706890165805821,0.0846774193548387,1
