run,spec,vehicle,ttt_index,ttt_channel_slot,can_user_defined_index,configured_label,description,fcw_context,explicit_sound_label,semantic_status,minimum,maximum,true_time_s,delay_time_s,or_true,trace_status,rows,bad_rows,sha256,t_fcw_audio_observed_s,t_ttt_true_time_complete_s,t_ttt_final_after_delay_s,time_source,observed_to_qualified_s,qualified_to_final_s,observed_braking_onset_s,braking_source_status,br_command_active,fcw_audio_to_observed_braking_s
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/265-FCW CCRs 50 kph +50 %/V13_T265_R1.txt,13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/265-FCW CCRs 50 kph +50 %/V13_T265_R1.spec,13-xiaopengG9,1,1,1,BBB,AR Speed Throttle Event,True,False,avad3_fcw_audio_by_operator_convention_in_fcw_context,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,1821,79,f85b9fbd4e4c22dcddce7353e33251526f85772034c29ab48cacc489e002879a,6.85989999771118,6.85989999771118,7.85989999771118,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0,8.18990039825439,robot_channel_active,True,1.3300004005432093
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/265-FCW CCRs 50 kph +50 %/V13_T265_R2.txt,13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/265-FCW CCRs 50 kph +50 %/V13_T265_R2.spec,13-xiaopengG9,1,1,1,BBB,AR Speed Throttle Event,True,False,avad3_fcw_audio_by_operator_convention_in_fcw_context,0.5,1.5,0.0,0.8,False,fcw_audio_rising_edge_found,3205,79,bd1bd8f795e25dbd7fd55442fe8e0dad639ff44d229527b751a9d0ffdba98fe5,22.1298999786377,22.1298999786377,22.9298992156982,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,0.7999992370605007,23.1998996734619,robot_channel_active,True,1.069999694824201
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/269-FCW CCRs 60 kph -50 %/V13_T269_R1.txt,13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/269-FCW CCRs 60 kph -50 %/V13_T269_R1.spec,13-xiaopengG9,1,1,1,BBB,AR Speed Throttle Event,True,False,avad3_fcw_audio_by_operator_convention_in_fcw_context,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,3035,79,6a1b90249e48457d460a7373fd40d17c856e74c55be43c13fdae5da1245751a0,20.4298992156982,20.4298992156982,21.4298992156982,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0,21.7098999023438,robot_channel_active,True,1.2800006866456002
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/273-FCW CCRs 70 kph +50 %/V13_T273_R1.txt,13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/273-FCW CCRs 70 kph +50 %/V13_T273_R1.spec,13-xiaopengG9,1,1,1,BBB,AR Speed Throttle Event,True,False,avad3_fcw_audio_by_operator_convention_in_fcw_context,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,3220,79,8d8842dbb8518bdf6153f441c521b0b26d583c4f404524f5666441dbf156091a,20.9298992156982,20.9298992156982,21.9300003051758,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0001010894775995,22.1998996734619,robot_channel_active,True,1.2700004577637003
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/277-FCW CCRs 80 kph -50 %/V13_T277_R1.txt,13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/277-FCW CCRs 80 kph -50 %/V13_T277_R1.spec,13-xiaopengG9,1,1,1,BBB,AR Speed Throttle Event,True,False,avad3_fcw_audio_by_operator_convention_in_fcw_context,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,3720,79,cddc0e0e60fe13b745cf70c06b9385efa71c6e58d996dd5899e69b74fd0a9368,25.3999004364014,25.3999004364014,26.3999004364014,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0,26.6798992156982,robot_channel_active,True,1.2799987792968004
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/277-FCW CCRs 80 kph -50 %/V13_T277_R2.txt,13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/277-FCW CCRs 80 kph -50 %/V13_T277_R2.spec,13-xiaopengG9,1,1,1,BBB,AR Speed Throttle Event,True,False,avad3_fcw_audio_by_operator_convention_in_fcw_context,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,3738,79,55c6efd020b69f0e9f515002b11f5a3ff429dc892dec9b08a8f588fe9531b431,23.0799007415771,23.0799007415771,24.0799007415771,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0,24.3398990631104,robot_channel_active,True,1.2599983215333026
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/277-FCW CCRs 80 kph -50 %/V13_T277_R3.txt,13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/277-FCW CCRs 80 kph -50 %/V13_T277_R3.spec,13-xiaopengG9,1,1,1,BBB,AR Speed Throttle Event,True,False,avad3_fcw_audio_by_operator_convention_in_fcw_context,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,2867,79,be8dab590c9f2bab98dde01d746af01aa4e7ce0329ae06a37cdd9dc65618206c,18.2098999023438,18.2098999023438,19.2098999023438,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0,19.2898998260498,robot_channel_active,True,1.0799999237060014
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/25-GVT 40 kph/89-VUT 50 kph; CCScp Farside GVT 40 kph FCW/V14_T89_R3.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/25-GVT 40 kph/89-VUT 50 kph; CCScp Farside GVT 40 kph FCW/V14_T89_R3.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,2981,93,068e53bf33c9f385db2f3ed96aa8d1039c2417a94547e07d9a220af6aad78a1c,23.9619007110596,23.9619007110596,24.9619998931885,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0000991821289027,24.742000579834,robot_channel_active,True,0.7800998687743999
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/25-GVT 40 kph/89-VUT 50 kph; CCScp Farside GVT 40 kph FCW/V14_T89_R5.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/25-GVT 40 kph/89-VUT 50 kph; CCScp Farside GVT 40 kph FCW/V14_T89_R5.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,2982,93,24cac7997c9ed3499723091df8b6f911d451523668ea224b5f0b08be7feb6c0e,24.0319004058838,24.0319004058838,25.0319995880127,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0000991821288991,24.8120002746582,robot_channel_active,True,0.7800998687743999
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/25-GVT 40 kph/89-VUT 50 kph; CCScp Farside GVT 40 kph FCW/V14_T89_R6.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/25-GVT 40 kph/89-VUT 50 kph; CCScp Farside GVT 40 kph FCW/V14_T89_R6.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,3033,93,4d37e4cf8e3c8414e3787a95b4a5ab5f0909b9e438a5cd46a2da9879e5ba287f,23.7924995422363,23.7924995422363,24.7926006317139,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0001010894775995,24.4925003051758,robot_channel_active,True,0.7000007629394993
