run,vehicle,description,ttt_index,can_user_defined_index,configured_label,t_fcw_audio_observed_s,observed_braking_onset_s,fcw_audio_to_observed_braking_s,timing_quality_flag,driver_intervention
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 72 kph; CCRs 100 % FCW-car/V9_T69_R2.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,18.27,20.46,2.19,nonnegative_interval,unknown
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 72 kph; CCRs 100 % FCW-car/V9_T69_R3.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,17.37,18.71,1.34,nonnegative_interval,unknown
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 72 kph; CCRs 100 % FCW-car (1)/V9_T69_R2.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,18.27,20.46,2.19,nonnegative_interval,unknown
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 72 kph; CCRs 100 % FCW-car (1)/V9_T69_R3.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,17.37,18.71,1.34,nonnegative_interval,unknown
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/712-VUT 60 kph; CCRs 100 % FCW-track-night/V9_T712_R1.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,25.3699,26.2799,0.91,nonnegative_interval,unknown
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/712-VUT 60 kph; CCRs 100 % FCW-track-night/V9_T712_R2.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,26.19,27.16,0.97,nonnegative_interval,unknown
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/712-VUT 60 kph; CCRs 100 % FCW-track-night (1)/V9_T712_R1.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,25.3699,26.2799,0.91,nonnegative_interval,unknown
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/712-VUT 60 kph; CCRs 100 % FCW-track-night (1)/V9_T712_R2.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,26.19,27.16,0.97,nonnegative_interval,unknown
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/716-VUT 60 kph; CCRs -50 % FCW-track-night/V9_T716_R1.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,26.76,27.17,0.41,nonnegative_interval,unknown
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/716-VUT 60 kph; CCRs -50 % FCW-track-night/V9_T716_R2.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,22.59,22.94,0.35,nonnegative_interval,unknown
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/716-VUT 60 kph; CCRs -50 % FCW-track-night (1)/V9_T716_R1.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,26.76,27.17,0.41,nonnegative_interval,unknown
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/716-VUT 60 kph; CCRs -50 % FCW-track-night (1)/V9_T716_R2.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,22.59,22.94,0.35,nonnegative_interval,unknown
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/720-VUT 60 kph; CCRs 50 % FCW-track-night/V9_T720_R1.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,22.73,23.21,0.48,nonnegative_interval,unknown
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/720-VUT 60 kph; CCRs 50 % FCW-track-night/V9_T720_R2.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,24.2,24.52,0.32,nonnegative_interval,unknown
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/720-VUT 60 kph; CCRs 50 % FCW-track-night (1)/V9_T720_R1.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,22.73,23.21,0.48,nonnegative_interval,unknown
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/720-VUT 60 kph; CCRs 50 % FCW-track-night (1)/V9_T720_R2.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,24.2,24.52,0.32,nonnegative_interval,unknown
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/73-VUT 72 kph; CCRs 100% FCW-truck-day/V9_T73_R2.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,22.1,24.02,1.92,nonnegative_interval,unknown
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/73-VUT 72 kph; CCRs 100% FCW-truck-day/V9_T73_R3.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,17.31,19.32,2.01,nonnegative_interval,unknown
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/73-VUT 72 kph; CCRs 100% FCW-truck-day (1)/V9_T73_R2.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,22.1,24.02,1.92,nonnegative_interval,unknown
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/73-VUT 72 kph; CCRs 100% FCW-truck-day (1)/V9_T73_R3.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,17.31,19.32,2.01,nonnegative_interval,unknown
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/295-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW/V9_T295_R2.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,18.6999,18.4599,-0.24,braking_precedes_fcw_audio_review_event_selection,unknown
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/295-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW/V9_T295_R3.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,17.4699,17.4899,0.02,nonnegative_interval,unknown
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/295-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW (1)/V9_T295_R2.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,18.6999,18.4599,-0.24,braking_precedes_fcw_audio_review_event_selection,unknown
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/295-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW (1)/V9_T295_R3.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,17.4699,17.4899,0.02,nonnegative_interval,unknown
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/299-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V9_T299_R1.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,18.4899,19.8999,1.41,nonnegative_interval,unknown
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/299-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V9_T299_R2.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,17.5899,18.6899,1.1,nonnegative_interval,unknown
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/299-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V9_T299_R3.txt,9-BZ7,AR Speed Throttle Event,3,1,SoundAlarm,17.2799,18.6899,1.41,nonnegative_interval,unknown
