run,vehicle,scenario,header_status,channels,points_declared,has_object_reference_actual_xy,has_head_tracker_reference_actual_xy,has_spt_reference_actual,has_launchpad_low_level,has_can_user_defined,explicit_aeb_fcw_channels,error
10-accord/2-New Group/10-ACC80-0-L/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/10-ACC80-0-L/V10_T10_R1.txt,10-accord,OTHER,data_export,409,4140,True,True,False,False,False,,
10-accord/2-New Group/10-ACC80-0-L/V10_T10_R2.txt,10-accord,OTHER,data_export,409,4123,True,True,False,False,False,,
10-accord/2-New Group/10-ACC80-0-L/V10_T10_R3.txt,10-accord,OTHER,data_export,409,3723,True,True,False,False,False,,
10-accord/2-New Group/11-ACC60-20-M/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/11-ACC60-20-M/V10_T11_R1.txt,10-accord,OTHER,data_export,409,4047,True,True,False,False,False,,
10-accord/2-New Group/11-ACC60-20-M/V10_T11_R2.txt,10-accord,OTHER,data_export,409,3959,True,True,False,False,False,,
10-accord/2-New Group/11-ACC60-20-M/V10_T11_R3.txt,10-accord,OTHER,data_export,409,3723,True,True,False,False,False,,
10-accord/2-New Group/12-ACC60-20-R/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/12-ACC60-20-R/V10_T12_R1.txt,10-accord,OTHER,data_export,409,3181,True,True,False,False,False,,
10-accord/2-New Group/12-ACC60-20-R/V10_T12_R2.txt,10-accord,OTHER,data_export,409,3781,True,True,False,False,False,,
10-accord/2-New Group/12-ACC60-20-R/V10_T12_R3.txt,10-accord,OTHER,data_export,409,3468,True,True,False,False,False,,
10-accord/2-New Group/13-ACC120-60-M/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/13-ACC120-60-M/V10_T13_R1.txt,10-accord,OTHER,data_export,409,3775,True,True,False,False,False,,
10-accord/2-New Group/13-ACC120-60-M/V10_T13_R2.txt,10-accord,OTHER,data_export,409,4533,True,True,False,False,False,,
10-accord/2-New Group/13-ACC120-60-M/V10_T13_R3.txt,10-accord,OTHER,data_export,409,4937,True,True,False,False,False,,
10-accord/2-New Group/14-ACC120-60-L/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/14-ACC120-60-L/V10_T14_R1.txt,10-accord,OTHER,data_export,409,4255,True,True,False,False,False,,
10-accord/2-New Group/14-ACC120-60-L/V10_T14_R2.txt,10-accord,OTHER,data_export,409,4424,True,True,False,False,False,,
10-accord/2-New Group/14-ACC120-60-L/V10_T14_R3.txt,10-accord,OTHER,data_export,409,5145,True,True,False,False,False,,
10-accord/2-New Group/15-CUTIN80-60/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/15-CUTIN80-60/V10_T15_R1.txt,10-accord,OTHER,data_export,409,4571,True,True,False,False,False,,
10-accord/2-New Group/15-CUTIN80-60/V10_T15_R2.txt,10-accord,OTHER,data_export,409,4493,True,True,False,False,False,,
10-accord/2-New Group/15-CUTIN80-60/V10_T15_R3.txt,10-accord,OTHER,data_export,409,4472,True,True,False,False,False,,
10-accord/2-New Group/16-dec60-50/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/16-dec60-50/V10_T16_R1.txt,10-accord,OTHER,data_export,409,5994,True,True,False,False,False,,
10-accord/2-New Group/16-dec60-50/V10_T16_R2.txt,10-accord,OTHER,data_export,409,6076,True,True,False,False,False,,
10-accord/2-New Group/16-dec60-50/V10_T16_R3.txt,10-accord,OTHER,data_export,409,6259,True,False,False,False,False,,
10-accord/2-New Group/17-STOPANDGO/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/17-STOPANDGO/V10_T17_R1.txt,10-accord,OTHER,data_export,409,6524,True,True,False,False,False,,
10-accord/2-New Group/17-STOPANDGO/V10_T17_R2.txt,10-accord,OTHER,data_export,409,6123,True,True,False,False,False,,
10-accord/2-New Group/17-STOPANDGO/V10_T17_R3.txt,10-accord,OTHER,data_export,409,7252,True,True,False,False,False,,
10-accord/2-New Group/18-CUTOUT50-40/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/18-CUTOUT50-40/V10_T18_R1.txt,10-accord,OTHER,data_export,409,5176,True,True,False,False,False,,
10-accord/2-New Group/18-CUTOUT50-40/V10_T18_R2.txt,10-accord,OTHER,data_export,409,4969,True,True,False,False,False,,
10-accord/2-New Group/18-CUTOUT50-40/V10_T18_R3.txt,10-accord,OTHER,data_export,409,5396,True,True,False,False,False,,
10-accord/2-New Group/19-CUTOUT70-60/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/19-CUTOUT70-60/V10_T19_R1.txt,10-accord,OTHER,data_export,409,8842,True,True,False,False,False,,
10-accord/2-New Group/19-CUTOUT70-60/V10_T19_R2.txt,10-accord,OTHER,data_export,409,5735,True,True,False,False,False,,
10-accord/2-New Group/19-CUTOUT70-60/V10_T19_R3.txt,10-accord,OTHER,data_export,409,5312,True,True,False,False,False,,
10-accord/2-New Group/20-accident60/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/20-accident60/V10_T20_R1.txt,10-accord,OTHER,data_export,409,3660,True,True,False,False,False,,
10-accord/2-New Group/20-accident60/V10_T20_R2.txt,10-accord,OTHER,data_export,409,5221,True,True,False,False,False,,
10-accord/2-New Group/20-accident60/V10_T20_R3.txt,10-accord,OTHER,data_export,409,3942,True,True,False,False,False,,
10-accord/2-New Group/20-accident60/V10_T20_R4.txt,10-accord,OTHER,data_export,409,4638,True,True,False,False,False,,
10-accord/2-New Group/21-ACC80-30-M/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/21-ACC80-30-M/V10_T21_R1.txt,10-accord,OTHER,data_export,409,4928,True,True,False,False,False,,
10-accord/2-New Group/21-ACC80-30-M/V10_T21_R2.txt,10-accord,OTHER,data_export,409,4425,True,True,False,False,False,,
10-accord/2-New Group/21-ACC80-30-M/V10_T21_R3.txt,10-accord,OTHER,data_export,409,4512,True,True,False,False,False,,
10-accord/2-New Group/22-ACC80-30-R/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/22-ACC80-30-R/V10_T22_R1.txt,10-accord,OTHER,data_export,409,4142,True,True,False,False,False,,
10-accord/2-New Group/22-ACC80-30-R/V10_T22_R2.txt,10-accord,OTHER,data_export,409,3982,True,True,False,False,False,,
10-accord/2-New Group/22-ACC80-30-R/V10_T22_R3.txt,10-accord,OTHER,data_export,409,3732,True,True,False,False,False,,
10-accord/2-New Group/5-R250/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/5-R250/V10_T5_R1.txt,10-accord,OTHER,data_export,409,5815,True,True,False,False,False,,
10-accord/2-New Group/536-CPNAO/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/536-CPNAO/V10_T536_R1.txt,10-accord,OTHER,data_export,409,3488,True,True,False,False,False,,
10-accord/2-New Group/537-CSFA/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/537-CSFA/V10_T537_R1.txt,10-accord,OTHER,data_export,409,3383,True,True,False,False,False,,
10-accord/2-New Group/538-CBNA/CurrentTestSpec.txt,10-accord,CBNA,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/538-CBNA/V10_T538_R1.txt,10-accord,CBNA,data_export,409,3043,True,True,False,False,False,,
10-accord/2-New Group/539-CPFA/CurrentTestSpec.txt,10-accord,CPFA,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/539-CPFA/V10_T539_R1.txt,10-accord,CPFA,data_export,409,2809,True,True,False,False,False,,
10-accord/2-New Group/540-CUTIN40-20/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/540-CUTIN40-20/V10_T540_R1.txt,10-accord,OTHER,data_export,409,4769,True,True,False,False,False,,
10-accord/2-New Group/540-CUTIN40-20/V10_T540_R2.txt,10-accord,OTHER,data_export,409,2809,True,True,False,False,False,,
10-accord/2-New Group/6-R500/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/6-R500/V10_T6_R1.txt,10-accord,OTHER,data_export,409,5876,True,True,False,False,False,,
10-accord/2-New Group/6-R500/V10_T6_R2.txt,10-accord,OTHER,data_export,409,5779,True,True,False,False,False,,
10-accord/2-New Group/6-R500/V10_T6_R3.txt,10-accord,OTHER,data_export,409,5500,True,True,False,False,False,,
10-accord/2-New Group/7-ACC60-0-M/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/7-ACC60-0-M/V10_T7_R1.txt,10-accord,OTHER,data_export,409,4703,True,True,False,False,False,,
10-accord/2-New Group/7-ACC60-0-M/V10_T7_R2.txt,10-accord,OTHER,data_export,409,3703,True,True,False,False,False,,
10-accord/2-New Group/7-ACC60-0-M/V10_T7_R3.txt,10-accord,OTHER,data_export,409,3319,True,True,False,False,False,,
10-accord/2-New Group/8-ACC60-0-R/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/8-ACC60-0-R/V10_T8_R1.txt,10-accord,OTHER,data_export,409,3414,True,True,False,False,False,,
10-accord/2-New Group/8-ACC60-0-R/V10_T8_R2.txt,10-accord,OTHER,data_export,409,3144,True,True,False,False,False,,
10-accord/2-New Group/8-ACC60-0-R/V10_T8_R3.txt,10-accord,OTHER,data_export,409,3295,True,True,False,False,False,,
10-accord/2-New Group/8-ACC60-0-R/V10_T8_R4.txt,10-accord,OTHER,data_export,409,2617,True,True,False,False,False,,
