run,vehicle,scenario,prototype_similarity_0_1,prototype_scope,observed_braking_onset_s,peak_deceleration_mps2,lateral_velocity_delta_peak_mps,heading_change_deg,target_reference_actual_usable,algorithm_status,driver_intervention
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/56-VUT 20 kph; CCRs -50 % AEB/V14_T56_R3.txt,14-BZ3X,CCRS,0.965881,CCRS,26.9619,-10.6259,0.0216,0.0903,False,manual_review_required,unknown
Guang_Qi_E8_data/8-L6.1.5-CCRs-VUT/10-L6.1.5-CCRS-VUT-AEB/11-L6.1.5-CCRs-VUT-AEB/170-L6.1.5-CCRs-VUT-AEB-20kph-(-50%)/V5_T170_R1.txt,Guang_Qi_E8_data,CCRS,0.9365,CCRS,26.1599,-10.9222,0.0348,0.1433,False,manual_review_required,unknown
Guang_Qi_S9_data/2-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/27-VUT 20 kph; CCRs -50 % AEB/V4_T27_R1.txt,Guang_Qi_S9_data,CCRS,0.923921,CCRS,16.4599,-9.5291,0.0319,0.456,False,manual_review_required,unknown
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/60-VUT 40 kph; CCRs -50 % AEB/V8_T60_R2.txt,8-huajingS,CCRS,0.921138,CCRS,20.2999,-11.3521,0.0435,0.4292,False,manual_review_required,unknown
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB-CNCAP/11-CCRs/58-VUT 40 kph; CCRs -50 % AEB (1)/V9_T58_R1.txt,9-BZ7,CCRS,0.919901,CCRS,18.05,-10.3369,0.0687,0.2276,False,manual_review_required,unknown
XPengP7+_data/2-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/16-AEB/17-Farside/18-GVT 20 kph/76-VUT 30 kph; CCScp Farside GVT 20 kph AEB/V2_T76_R1.txt,XPengP7+_data,SCP,0.908588,ALL,15.9999,-10.6617,0.0431,0.575,True,manual_review_required,unknown
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/89-VUT 60 kph; CPFAO-25 6.5 kph AEB (Night)/V3_T89_R1.txt,Guang_Qi_A66_data,AEB,0.858907,ALL,22.0614,-11.0861,0.0526,0.4534,True,manual_review_required,unknown
6-C-NCAP 2024 Bao5/8-L6.1.5-CCRs-VUT/10-L6.1.5-CCRS-VUT-AEB/11-L6.1.5-CCRs-VUT-AEB/173-L6.1.5-CCRs-VUT-AEB-30kph-(+50%)/V6_T173_R1.txt,6-C-NCAP 2024 Bao5,CCRS,0.853531,CCRS,29.1099,-8.909,0.0169,0.1187,False,manual_review_required,unknown
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/5-Pedestrian Farside Scenarios/6-CPFA-50 8 kph (Day) [7.2.4]/332-VUT 60 kph; CPFA-50 8 kph (Day)/V13_T332_R2.txt,13-xiaopengG9,CPFA,0.813074,ALL,13.37,-11.1416,0.1816,1.6893,True,manual_review_required,unknown
15-TANG L-CNCAP2024/23-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/3329-VUT 40 kph; CCRs -50 % AEB/V15_T3329_R1.txt,15-TANG L-CNCAP2024,CCRS,0.708188,CCRS,22.94,-10.9663,0.0221,0.4174,False,manual_review_required,unknown
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/16-AEB/17-Farside/18-GVT 20 kph/1788-VUT 30 kph; CCScp Farside GVT 20 kph AEB/V14_T1788_R4.txt,14-BZ3X,SCP,0.950686,ALL,20.6513,-10.8767,0.035,0.3276,True,manual_review_required,unknown
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/30-CSFAO [O.6.2.6]/31-CSFAO-50 20 kph AEB (Day)/1797-VUT 15 kph; FCTB-50 20 kph AEB (Day)-ENCAP/V14_T1797_R1.txt,14-BZ3X,AEB,0.940198,ALL,15.8111,-10.4197,0.0258,0.172,True,manual_review_required,unknown
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/476-VUT 20 kph; CPNCO-25 5 kph AEB (Day)/V14_T476_R1.txt,14-BZ3X,CPNCO,0.928721,ALL,22.0315,-10.0052,0.0385,0.1926,True,manual_review_required,unknown
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/13-CPLA-25 5 kph AEB (Day)/452-VUT 20 kph; CPLA-25 5 kph AEB (Day)/V14_T452_R3.txt,14-BZ3X,CPLA,0.917193,ALL,14.9911,-10.6963,0.0432,0.2004,True,manual_review_required,unknown
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/32-CBLA [O.6.2.7]/33-CBLA-25 15 kph AEB (Day)/530-VUT 40 kph; CBLA-25 15 kph AEB (Day)/V14_T530_R1.txt,14-BZ3X,CBLA,0.916153,ALL,21.0116,-11.1158,0.0495,0.2851,True,manual_review_required,unknown
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/38-CCFT [L.6.1.9]/39-AEB/40-Farside/41-GVT 20 kph/133-VUT 10 kph; CCFT 20 kph AEB/V14_T133_R3.txt,14-BZ3X,CCFT,0.914722,CCFT,37.213,-10.3596,0.1976,11.9741,True,manual_review_required,unknown
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/28-CBNAO [O.6.2.5]/29-CBNAO-50 15 kph AEB (Day)/631-VUT 40 kph; CBNA-50 15 kph AEB (Day)-ciasi/V14_T631_R2.txt,14-BZ3X,CBNA,0.892779,ALL,22.1818,-10.3708,0.0242,0.2242,True,manual_review_required,unknown
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/24-CPTA-LF [O.6.1.10]/25-CPTA-LF 6.5 kph AEB (Day)/512-VUT 10 kph; CPTA-LF 6.5 kph AEB (Day)/V14_T512_R2.txt,14-BZ3X,CPTA,0.866371,CPTA,41.0232,-7.1602,0.3269,22.2104,True,manual_review_required,unknown
8-huajingS/7-C-NCAP VRU 2024 (VUT)/37-CSTA-RN [O.6.2.9]/38-CSTA-RN 20 kph AEB (Day)/370-VUT 20 kph; CSTA-RN 20 kph AEB (Day)/V8_T370_R2.txt,8-huajingS,AEB,0.861185,ALL,24.1099,-10.0927,0.1449,12.8881,True,manual_review_required,unknown
Guang_Qi_S9_data/5-C-NCAP VRU 2024 (VUT)/35-CSTA-LN [O.6.2.8]/36-CSTA-LN 20 kph AEB (Day)/333-VUT 20 kph; CSTA-LN 20 kph AEB (Day)/V4_T333_R2.txt,Guang_Qi_S9_data,AEB,0.857078,ALL,32.91,-9.3323,0.1309,13.5008,True,manual_review_required,unknown
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/1775-VUT 40 kph; CPNA-25 5 kph AEB (Night)/V14_T1775_R1.txt,14-BZ3X,CPNA,0.85142,ALL,21.0515,-11.2465,0.0318,0.2278,True,manual_review_required,unknown
9-BZ7/7-C-IASI VRU 2024 (VUT)/30-CSFA [O.6.2.6]/31-CSFA-50 20 kph AEB (Day)/502-VUT 20 kph; CSFA-50 20 kph AEB (Day) (1)/V9_T502_R3.txt,9-BZ7,AEB,0.846898,ALL,37.76,-8.5997,0.0408,0.1868,True,manual_review_required,unknown
9-BZ7/9-Euro NCAP AEB Car-to-car 2023 (VUT)/25-AEB/27-CCRm [8.2.2.2]/854-VUT 60 kph; CCRm 100 % AEB (1)/V9_T854_R1.txt,9-BZ7,CCRM,0.841425,ALL,24.3299,-10.5929,0.1173,0.787,True,manual_review_required,unknown
8-huajingS/7-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/286-VUT 40 kph; CPNCO-25 5 kph AEB (Day)/V8_T286_R2.txt,8-huajingS,CPNCO,0.829061,ALL,21.3599,-11.2245,0.0428,0.2199,True,manual_review_required,unknown
8-huajingS/7-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/15-CPLA-25 5 kph AEB (Night)/262-VUT 40 kph; CPLA-25 5 kph AEB (Night)/V8_T262_R1.txt,8-huajingS,CPLA,0.829036,ALL,19.2999,-10.8938,0.0664,0.3105,True,manual_review_required,unknown
9-BZ7/7-C-IASI VRU 2024 (VUT)/28-CBNA [O.6.2.5]/29-CBNA-50 15 kph AEB (Day)/499-VUT 20 kph; CBNA-50 15 kph AEB (Day) (1)/V9_T499_R1.txt,9-BZ7,CBNA,0.826246,ALL,38.2999,-9.4975,0.0375,0.2198,True,manual_review_required,unknown
9-BZ7/8-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/598-VUT 20 kph; CPNCO-25 5 kph AEB (Day) (1)/V9_T598_R3.txt,9-BZ7,CPNCO,0.825531,ALL,21.2799,-9.0839,0.0352,0.4298,True,manual_review_required,unknown
8-huajingS/12-UN Regulation 152 (Subject Vehicle)/1-Mass in running order (MIRO)/4-Pedestrian Target (PT)/1465-VUT 20 kph; PT 5 kph Nearside AEBS; MIRO M1/V8_T1465_R1.txt,8-huajingS,OTHER,0.824836,ALL,17.2913,-10.0082,0.0988,0.1167,True,manual_review_required,unknown
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/7-Pedestrian Nearside Scenarios/8-CPNA-25 5 kph (Day) [7.2.5]/353-VUT 40 kph; CPNA-25 5 kph (Day)/V13_T353_R1.txt,13-xiaopengG9,CPNA,0.804451,ALL,11.24,-10.4138,0.0549,0.5201,True,manual_review_required,unknown
9-BZ7/8-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/15-CPLA-25 5 kph AEB (Night)/583-VUT 40 kph; CPLA-25 5 kph AEB (Night) (1)/V9_T583_R2.txt,9-BZ7,CPLA,0.803935,ALL,22.5299,-9.8717,0.0828,0.2728,True,manual_review_required,unknown
Guang_Qi_A66_data/3-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/189-VUT 40 kph; CCRs -50 % AEB/V3_T189_R1.txt,Guang_Qi_A66_data,CCRS,0.803672,CCRS,18.9533,-11.1883,0.026,0.1943,False,manual_review_required,unknown
Guang_Qi_E8_data/4-Cal/1707-O6.2.7-CPLA-VUT-AEB-20.5kph-(-25%)/V5_T1707_R1.txt,Guang_Qi_E8_data,CPLA,0.801228,ALL,20.7299,-11.461,0.0175,0.0766,True,manual_review_required,unknown
XPengP7+_data/9-C-NCAP VRU 2024 (VUT)/22-CPTA-LN [O.6.1.9]/23-CPTA-LN 5 kph AEB (Day)/1170-VUT 10 kph; CPTA-LN 5 kph AEB (Day)/V2_T1170_R2.txt,XPengP7+_data,CPTA,0.799867,CPTA,24.4899,-9.6637,0.3292,23.3889,True,manual_review_required,unknown
