run,vehicle,scenario,filename,rows,channels,row_count_matches,file_path_has_aeb,event_status,explicit_aeb_fcw_channels,has_object_reference_actual_xy,has_head_tracker_reference_actual_xy,has_spt_reference_actual,has_launchpad_low_level,has_can_user_defined,robot_max_abs_json,observed_braking_onset_s,observed_braking_onset_ttc_s,onset_speed_kph,peak_deceleration_mps2,speed_drop_2s_kph,lateral_velocity_delta_peak_mps,yaw_rate_delta_peak_dps,heading_change_deg,speed_rebound_kph,positive_speed_step_fraction,brake_pulse_count,jerk_p95_mps3,prototype_similarity_0_1,prototype_scope,target_source,target_usable_dynamic,target_active_samples,target_reference_path_range_m,target_reference_frame_offset_x_m,target_reference_frame_offset_y_m,target_reference_frame_offset_norm_m,target_raw_position_difference_p50_m,target_aligned_position_residual_rmse_m,target_aligned_position_residual_p95_m,target_aligned_position_residual_max_m,aeb_request_proxy_earliest_s,aeb_request_proxy_nominal_s,aeb_request_proxy_latest_s,aeb_request_to_onset_prior_low_s,aeb_request_to_onset_prior_high_s,aeb_request_proxy_status
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R1.txt,13-xiaopengG9,AEB,V13_T7_R1.txt,1580,409,True,True,no_observed_braking_event,,True,True,False,False,False,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R10.txt,13-xiaopengG9,AEB,V13_T7_R10.txt,1580,409,True,True,no_observed_braking_event,,True,True,False,False,False,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R11.txt,13-xiaopengG9,AEB,V13_T7_R11.txt,1581,409,True,True,no_observed_braking_event,,True,True,False,False,False,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R12.txt,13-xiaopengG9,AEB,V13_T7_R12.txt,1580,409,True,True,no_observed_braking_event,,True,True,False,False,False,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R13.txt,13-xiaopengG9,AEB,V13_T7_R13.txt,1580,409,True,True,no_observed_braking_event,,True,True,False,False,False,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R14.txt,13-xiaopengG9,AEB,V13_T7_R14.txt,1581,409,True,True,no_observed_braking_event,,True,True,False,False,False,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R15.txt,13-xiaopengG9,AEB,V13_T7_R15.txt,1577,409,True,True,no_observed_braking_event,,True,True,False,False,False,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R16.txt,13-xiaopengG9,AEB,V13_T7_R16.txt,1576,409,True,True,no_observed_braking_event,,True,True,False,False,False,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R17.txt,13-xiaopengG9,AEB,V13_T7_R17.txt,1577,409,True,True,no_observed_braking_event,,True,True,False,False,False,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R18.txt,13-xiaopengG9,AEB,V13_T7_R18.txt,1577,409,True,True,no_observed_braking_event,,True,True,False,False,False,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R2.txt,13-xiaopengG9,AEB,V13_T7_R2.txt,1582,409,True,True,no_observed_braking_event,,True,True,False,False,False,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R3.txt,13-xiaopengG9,AEB,V13_T7_R3.txt,1583,409,True,True,no_observed_braking_event,,True,True,False,False,False,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R4.txt,13-xiaopengG9,AEB,V13_T7_R4.txt,1582,409,True,True,no_observed_braking_event,,True,True,False,False,False,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R5.txt,13-xiaopengG9,AEB,V13_T7_R5.txt,1581,409,True,True,no_observed_braking_event,,True,True,False,False,False,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R6.txt,13-xiaopengG9,AEB,V13_T7_R6.txt,1581,409,True,True,no_observed_braking_event,,True,True,False,False,False,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R7.txt,13-xiaopengG9,AEB,V13_T7_R7.txt,1581,409,True,True,no_observed_braking_event,,True,True,False,False,False,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R8.txt,13-xiaopengG9,AEB,V13_T7_R8.txt,1580,409,True,True,no_observed_braking_event,,True,True,False,False,False,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R9.txt,13-xiaopengG9,AEB,V13_T7_R9.txt,1578,409,True,True,no_observed_braking_event,,True,True,False,False,False,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/280-AEB CCRs 20 kph -50 %/V13_T280_R1.txt,13-xiaopengG9,CCRS,V13_T280_R1.txt,6514,409,True,True,br_zero_observed_braking,,True,True,False,False,False,"{""BR Command"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR start"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR test"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""Motion Going BR"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}}",57.6099014282227,0.650767087936401,20.4786109924316,-10.547940349578857,20.4756832122803,0.034364071674645,2.92565900832415,0.2246059328317643,3.157774865627288,0.08837209302325581,2,79.8078632804011,0.6766940532810979,CCRS,Object 1,False,,,,,,,,,,57.2599014282227,57.3599014282227,57.4599014282227,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/283-AEB CCRs 30 kph +50 %/V13_T283_R1.txt,13-xiaopengG9,CCRS,V13_T283_R1.txt,4247,409,True,True,br_zero_observed_braking,,True,True,False,False,False,"{""BR Command"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR start"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR test"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""Motion Going BR"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}}",35.6698989868164,0.708943665027618,29.9064102172852,-10.656818008422848,29.3877258300781,0.08062879042699937,3.7660007383674383,0.3824495263397691,3.26367819309234,0.07723577235772358,3,79.52953485303193,0.5564955449180166,CCRS,Object 1,False,,,,,,,,,,35.3198989868164,35.4198989868164,35.5198989868164,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/286-AEB CCRs 40 kph -50 %/V13_T286_R1.txt,13-xiaopengG9,CCRS,V13_T286_R1.txt,3408,409,True,True,br_zero_observed_braking,,True,True,False,False,False,"{""BR Command"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR start"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR test"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""Motion Going BR"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}}",26.0799007415771,0.875997364521027,40.0251159667969,-11.44357080459595,39.5709228515625,0.02589516993612045,2.52079540770501,0.344475798308849,3.03477847576141,0.08058608058608059,3,69.21810136717426,0.7222293415031692,CCRS,Object 1,False,,,,,,,,,,25.729900741577097,25.8299007415771,25.9299007415771,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/10-Brakes ABS method A (3 @ 72 kph) [8.1.2.1]/V13_T10_R1.txt,13-xiaopengG9,AEB,V13_T10_R1.txt,775,409,True,True,robot_channel_active,,True,True,False,False,False,"{""BR Command"": {""event_max_abs"": 78.0, ""event_max_abs_delta"": 70.64786767959595}, ""BR start"": {""event_max_abs"": 1.0, ""event_max_abs_delta"": 0.0}, ""BR test"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""Motion Going BR"": {""event_max_abs"": 1.0, ""event_max_abs_delta"": 0.0}}",0.309899985790253,32.539608001709,71.4869003295898,-10.265581798553471,62.85804378986362,0.06122622825205329,1.7957193255424522,2.013570308685299,2.8362985849380533,0.051771117166212535,1,32.318052093477235,,,Object 1,False,,,,,,,,,,-0.04010001420974696,0.05989998579025302,0.15989998579025302,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/10-Brakes ABS method A (3 @ 72 kph) [8.1.2.1]/V13_T10_R2.txt,13-xiaopengG9,AEB,V13_T10_R2.txt,780,409,True,True,robot_channel_active,,True,True,False,False,False,"{""BR Command"": {""event_max_abs"": 78.0, ""event_max_abs_delta"": 69.6478681564331}, ""BR start"": {""event_max_abs"": 1.0, ""event_max_abs_delta"": 0.0}, ""BR test"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""Motion Going BR"": {""event_max_abs"": 1.0, ""event_max_abs_delta"": 0.0}}",0.349900007247925,9999.0,71.4887237548828,-10.138521766662594,61.502164602279635,0.036321796011179686,1.400912851095197,0.4120178222659945,2.821975052356716,0.05660377358490566,2,35.34081792465459,,,Object 1,False,,,,,,,,,,-9.999275207495106e-05,0.09990000724792503,0.19990000724792503,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/10-Brakes ABS method A (3 @ 72 kph) [8.1.2.1]/V13_T10_R3.txt,13-xiaopengG9,AEB,V13_T10_R3.txt,776,409,True,True,robot_channel_active,,True,True,False,False,False,"{""BR Command"": {""event_max_abs"": 78.0, ""event_max_abs_delta"": 71.14786767959595}, ""BR start"": {""event_max_abs"": 1.0, ""event_max_abs_delta"": 0.0}, ""BR test"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""Motion Going BR"": {""event_max_abs"": 1.0, ""event_max_abs_delta"": 0.0}}",0.289900004863739,31.7457084655762,71.5564422607422,-9.955359745025639,62.4935111999512,0.024373468011617622,1.104897156357765,0.576249450445175,2.751505255699155,0.05449591280653951,2,36.63387363506102,,,Object 1,False,,,,,,,,,,-0.060099995136260964,0.039900004863739014,0.13990000486373902,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
