run,vehicle,scenario,review_source,operator_note,intervention_class,aeb_response_eligibility,analysis_window_rule,sha256,onset_time_s,onset_speed_kph,onset_ttc_s,peak_deceleration_mps2,p05_acceleration_mps2,stopping_distance_from_onset_m,effective_constant_deceleration_distance_mps2,effective_constant_deceleration_time_mps2,time_onset_to_peak_s,event_duration_s,margin_time_s,br_position_travel_mm,brake_force_max_n,aeb_request_proxy_earliest_s,aeb_request_proxy_nominal_s,aeb_request_proxy_latest_s,aeb_request_to_onset_prior_low_s,aeb_request_to_onset_prior_high_s,aeb_request_proxy_status
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/56-VUT 20 kph; CCRs -50 % AEB/V14_T56_R1.txt,14-BZ3X,CCRs,operator_smoke_anchor,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,35fb5df3df23cb95234d3de51301c9f025625a5c0338e4eb63ab93ea75848a50,24.7917,20.478,0.8845,-11.419,-11.373,2.092,7.718,8.603,0.42,0.63,0.3863,14.429,14.143,24.441699999999997,24.5417,24.6417,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/56-VUT 20 kph; CCRs -50 % AEB/V14_T56_R2.txt,14-BZ3X,CCRs,operator_smoke_anchor,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,033633ab282ea714ede9be3d7f706837d6170a3d5b16f95b9e91aa2ef900918a,25.1618,20.478,0.6893,-10.388,-10.105,2.829,5.706,6.627,0.8,0.82,0.1418,18.147,7.401,24.811799999999998,24.9118,25.0118,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/38-CCFT [L.6.1.9]/39-AEB/40-Farside/41-GVT 20 kph/133-VUT 10 kph; CCFT 20 kph AEB/V14_T133_R2.txt,14-BZ3X,CCFT,operator_smoke_anchor,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,997eb6a0f63d70c6e09d932504e8f38b3fc18ee47df258dd5f9152ea9ea7232f,37.8831,10.59,0.1731,-10.024,-10.015,0.695,6.201,7.418,0.3,0.37,-0.1203,17.284,4.799,37.5331,37.6331,37.7331,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/22-CPTA-LN [O.6.1.9]/23-CPTA-LN 5 kph AEB (Day)/503-VUT 10 kph; CPTA-LN 5 kph AEB (Day)/V14_T503_R4.txt,14-BZ3X,CPTA,operator_smoke_anchor,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,eb36e988b2fa11b6a254e7077b6306d0d8ee8e2d141c09ea52c85f53563b7caa,41.4435,10.017,0.6947,-6.119,-5.95,0.8,4.796,5.243,0.48,0.48,0.24,20.102,11.883,41.0935,41.1935,41.2935,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/56-VUT 20 kph; CCRs -50 % AEB/V14_T56_R3.txt,14-BZ3X,CCRS,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,b926621fbf063d0f1cca4aa4737d65c3db4cc2558376b2bea5a49aa01d819cf9,26.9619,20.488,0.6386,-10.626,-10.602,2.828,5.721,6.816,0.76,0.81,0.1031,15.507,7.315,26.6119,26.7119,26.8119,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
Guang_Qi_E8_data/8-L6.1.5-CCRs-VUT/10-L6.1.5-CCRS-VUT-AEB/11-L6.1.5-CCRs-VUT-AEB/170-L6.1.5-CCRs-VUT-AEB-20kph-(-50%)/V5_T170_R1.txt,Guang_Qi_E8_data,CCRS,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,dd9983f7efa7bb6cff8310f9a7520c0394ab9f5dbd4ce2705cff63f69b2b7586,26.1599,20.368,0.7456,-10.922,-10.811,2.424,6.592,7.647,0.47,0.71,0.2276,43.526,2.719,25.8099,25.9099,26.009900000000002,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
Guang_Qi_S9_data/2-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/27-VUT 20 kph; CCRs -50 % AEB/V4_T27_R1.txt,Guang_Qi_S9_data,CCRS,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,2092e3eec4fac1aff91771c397f0d089c2a91b387be0cd0821c9c29759faf847,16.4599,20.494,0.6526,-9.529,-9.478,2.225,7.267,7.989,0.46,0.68,0.0552,14.934,12.361,16.1099,16.2099,16.309900000000003,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/60-VUT 40 kph; CCRs -50 % AEB/V8_T60_R2.txt,8-huajingS,CCRS,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,cec612ed04f82f4ee55d162d76f2c0deb387bebfe8f0b9152cb0a819050a8db0,20.2999,40.156,0.9503,-11.352,-10.823,7.407,8.394,8.934,0.83,1.22,-0.0323,25.175,21.578,19.9499,20.0499,20.149900000000002,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB-CNCAP/11-CCRs/58-VUT 40 kph; CCRs -50 % AEB (1)/V9_T58_R1.txt,9-BZ7,CCRS,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,a4dfaa4c596f2cae36152cbf08407e892d1a70cadf548ee34a5e22a177ab6c86,18.05,39.443,0.8151,-10.337,-10.226,7.365,8.146,8.455,0.51,1.27,-0.2448,23.945,19.571,17.7,17.8,17.900000000000002,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
XPengP7+_data/2-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/16-AEB/17-Farside/18-GVT 20 kph/76-VUT 30 kph; CCScp Farside GVT 20 kph AEB/V2_T76_R1.txt,XPengP7+_data,SCP,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,cef914986c18d4d94d239ea77791187841c0aaa9bc13862a6dc4880b6d760963,15.9999,30.511,0.7681,-10.662,-10.381,4.639,7.738,8.448,0.41,0.98,-0.0268,33.613,37.633,15.6499,15.7499,15.8499,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
