run,vehicle,ttt_index,can_user_defined_index,configured_label,t_fcw_audio_observed_s,test_intent,eligible_for_fcw_audio_timing,eligible_for_aeb_response_or_proxy,braking_interpretation,intervention_class,operator_note
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/265-FCW CCRs 50 kph +50 %/V13_T265_R1.txt,13-xiaopengG9,1,1,BBB,6.85989999771118,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/265-FCW CCRs 50 kph +50 %/V13_T265_R2.txt,13-xiaopengG9,1,1,BBB,22.1298999786377,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/269-FCW CCRs 60 kph -50 %/V13_T269_R1.txt,13-xiaopengG9,1,1,BBB,20.4298992156982,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/273-FCW CCRs 70 kph +50 %/V13_T273_R1.txt,13-xiaopengG9,1,1,BBB,20.9298992156982,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/277-FCW CCRs 80 kph -50 %/V13_T277_R1.txt,13-xiaopengG9,1,1,BBB,25.3999004364014,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/277-FCW CCRs 80 kph -50 %/V13_T277_R2.txt,13-xiaopengG9,1,1,BBB,23.0799007415771,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/5-FCW/7-CCRs [8.2.3]/277-FCW CCRs 80 kph -50 %/V13_T277_R3.txt,13-xiaopengG9,1,1,BBB,18.2098999023438,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/25-GVT 40 kph/89-VUT 50 kph; CCScp Farside GVT 40 kph FCW/V14_T89_R3.txt,14-BZ3X,3,1,SoundAlarm1,23.9619007110596,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/25-GVT 40 kph/89-VUT 50 kph; CCScp Farside GVT 40 kph FCW/V14_T89_R5.txt,14-BZ3X,3,1,SoundAlarm1,24.0319004058838,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/25-GVT 40 kph/89-VUT 50 kph; CCScp Farside GVT 40 kph FCW/V14_T89_R6.txt,14-BZ3X,3,1,SoundAlarm1,23.7924995422363,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/26-GVT 50 kph/93-VUT 60 kph; CCScp Farside GVT 50 kph FCW/V14_T93_R1.txt,14-BZ3X,3,1,SoundAlarm1,25.3118000030518,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/26-GVT 50 kph/93-VUT 60 kph; CCScp Farside GVT 50 kph FCW/V14_T93_R2.txt,14-BZ3X,3,1,SoundAlarm1,25.9323997497559,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/26-GVT 50 kph/93-VUT 60 kph; CCScp Farside GVT 50 kph FCW/V14_T93_R3.txt,14-BZ3X,3,1,SoundAlarm1,25.2418003082275,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/125-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW/V14_T125_R1.txt,14-BZ3X,3,1,SoundAlarm1,24.6018009185791,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/125-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW/V14_T125_R2.txt,14-BZ3X,3,1,SoundAlarm1,23.6616992950439,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/125-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW/V14_T125_R3.txt,14-BZ3X,3,1,SoundAlarm1,23.3922004699707,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/129-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V14_T129_R1.txt,14-BZ3X,3,1,SoundAlarm1,24.5018005371094,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/129-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V14_T129_R2.txt,14-BZ3X,3,1,SoundAlarm1,25.2523994445801,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/129-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V14_T129_R3.txt,14-BZ3X,3,1,SoundAlarm1,25.7019004821777,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/65-VUT 50 kph; CCRs 50 % FCW/V14_T65_R1.txt,14-BZ3X,3,1,SoundAlarm1,23.1816997528076,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/65-VUT 50 kph; CCRs 50 % FCW/V14_T65_R2.txt,14-BZ3X,3,1,SoundAlarm1,23.7320003509521,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/65-VUT 50 kph; CCRs 50 % FCW/V14_T65_R3.txt,14-BZ3X,3,1,SoundAlarm1,24.1620998382568,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 60 kph; CCRs -50 % FCW/V14_T69_R1.txt,14-BZ3X,3,1,SoundAlarm1,22.6016006469727,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
