uid,branch,fixed2_rate,optimistic_oracle2_rate,loo_oracle2_rate,optimistic_pair,loo_pair_consistency,head0_rate,head1_rate,head2_rate,head3_rate
training_seed73000_samplerv2::single::single-00002,single,1.0,1.0,1.0,0+1,1.0,0.0,1.0,0.0,1.0
training_seed73000_samplerv2::single::single-00003,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00004,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00006,single,1.0,1.0,1.0,0+1,1.0,0.0,1.0,0.0,1.0
training_seed73000_samplerv2::single::single-00007,single,1.0,1.0,1.0,0+1,1.0,1.0,1.0,0.0,1.0
training_seed73000_samplerv2::single::single-00009,single,0.0,0.6,0.6,0+2,1.0,0.0,0.0,0.6,0.0
training_seed73000_samplerv2::single::single-00011,single,0.0,0.2,0.0,0+2,0.8,0.0,0.0,0.2,0.0
training_seed73000_samplerv2::single::single-00013,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00015,single,0.0,1.0,1.0,0+2,1.0,0.0,0.0,1.0,0.0
training_seed73000_samplerv2::single::single-00016,single,1.0,1.0,1.0,0+1,1.0,1.0,1.0,0.0,1.0
training_seed73000_samplerv2::single::single-00017,single,1.0,1.0,1.0,0+1,1.0,1.0,1.0,0.0,1.0
training_seed73000_samplerv2::single::single-00019,single,0.0,1.0,1.0,0+2,1.0,0.0,0.0,1.0,0.0
training_seed73000_samplerv2::single::single-00020,single,0.0,0.2,0.0,0+2,0.8,0.0,0.0,0.2,0.0
training_seed73000_samplerv2::single::single-00021,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00022,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00023,single,1.0,1.0,1.0,0+1,1.0,0.0,1.0,0.0,0.0
training_seed73000_samplerv2::single::single-00024,single,1.0,1.0,1.0,0+1,1.0,0.0,1.0,0.0,1.0
training_seed73000_samplerv2::single::single-00027,single,1.0,1.0,1.0,0+1,1.0,1.0,1.0,0.0,1.0
training_seed73000_samplerv2::single::single-00028,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00029,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00031,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00034,single,0.0,0.2,0.0,0+2,0.8,0.0,0.0,0.2,0.0
training_seed73000_samplerv2::single::single-00035,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00036,single,1.0,1.0,1.0,0+1,1.0,0.0,1.0,0.0,0.0
training_seed73000_samplerv2::single::single-00038,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00040,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00041,single,1.0,1.0,1.0,0+1,1.0,0.4,1.0,0.0,1.0
training_seed73000_samplerv2::single::single-00042,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00044,single,1.0,1.0,1.0,0+1,1.0,0.0,1.0,0.0,0.6
training_seed73000_samplerv2::single::single-00046,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
