run,vehicle,scenario,sha256,outcome,onset_s,onset_speed_kph,peak_decel_ms2,stopped,stop_rel_s,end_speed_kph,equiv_decel_ms2,onset_ttc_s,margin_time_s,active_s,request_s_d150,request_s_d250,request_s_d350
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/280-AEB CCRs 20 kph -50 %/V13_T280_R1.txt,13-xiaopengG9,CCRS,e21245be31493f6b7de8ca3b21df5ec1fd0e82203482653f8866b2017d625584,clear,57.61,20.48,-12.138,1,0.65,0.74,7.602,0.651,0.182,57.61,57.46,57.36,57.26
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/283-AEB CCRs 30 kph +50 %/V13_T283_R1.txt,13-xiaopengG9,CCRS,72a9f3c6aec88579abbc5b5e57c1fe3f9f529809754e418a677d98c099dfa32b,clear,35.67,29.91,-12.189,1,0.96,0.72,7.448,0.709,0.027,35.67,35.52,35.42,35.32
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/286-AEB CCRs 40 kph -50 %/V13_T286_R1.txt,13-xiaopengG9,CCRS,e4ef4d6eaeb6b742707eb90b39840ae6a175a64961650de86f6a643402b91580,clear,26.08,40.03,-12.163,1,1.23,0.92,7.898,0.876,-0.038,26.08,25.93,25.83,25.73
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/506-VUT 20 kph; CPLA-50 5 kph (Day)/V13_T506_R1.txt,13-xiaopengG9,CPLA,d1c2a66006af9df6821b483a900ed893958706ec9c9c51bee355d7c7b40ad958,contact_and_stopped,25.16,20.15,-10.661,1,2.24,0.82,2.603,0.703,0.178,25.16,25.01,24.91,24.81
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/506-VUT 20 kph; CPLA-50 5 kph (Day)/V13_T506_R2.txt,13-xiaopengG9,CPLA,e08f168ccf989d89b376987f8ca112a60e628729a2b25f3549247d95d2a80d89,clear,30.66,20.14,-11.413,1,0.66,0.81,6.91,0.474,-0.016,30.66,30.51,30.41,30.31
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/518-VUT 40 kph; CPLA-50 5 kph (Day)/V13_T518_R1.txt,13-xiaopengG9,CPLA,218879aa0175b870f1545fb71003467c27828220a3e4c52a96f75fba5f31edab,clear,0.29,39.73,-12.75,1,1.17,0.71,8.602,0.954,0.089,0.29,0.14,0.04,-0.06
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/518-VUT 40 kph; CPLA-50 5 kph (Day)/V13_T518_R2.txt,13-xiaopengG9,CPLA,a8cbcce81c1ff60fddb6ed0014866ad697da5b3dd38a7eff8cb948e15aa73083,clear,23.77,39.91,-12.189,1,1.18,0.82,8.502,0.976,0.067,23.77,23.62,23.52,23.42
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/28-Bicyclist Farside Scenarios/29-CBFA-50 20 kph (Day) [7.2.12]/670-VUT 30 kph; CBFA-50 20 kph (Day)/V13_T670_R1.txt,13-xiaopengG9,CBFA,a808fa2ff77c6a773310523668d82247273b14307811ae3cfa24af38e75940e7,contact_and_stopped,15.83,30.22,-11.555,1,0.98,0.7,7.36,0.542,-0.184,15.83,15.68,15.58,15.48
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/28-Bicyclist Farside Scenarios/29-CBFA-50 20 kph (Day) [7.2.12]/670-VUT 30 kph; CBFA-50 20 kph (Day)/V13_T670_R2.txt,13-xiaopengG9,CBFA,a76b73932c303140dafa0deef35768926c77239324fe6a962fe0b6b2cb97be0a,near_contact_0_5,15.52,30.27,-11.721,1,0.99,0.69,7.265,0.608,-0.109,15.52,15.37,15.27,15.17
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/28-Bicyclist Farside Scenarios/29-CBFA-50 20 kph (Day) [7.2.12]/676-VUT 40 kph; CBFA-50 20 kph (Day)/V13_T676_R1.txt,13-xiaopengG9,CBFA,885a113d9d4f20356a8f95521f91004494a13ccb6da76d2ca8426a29a249e822,contact_and_stopped,11.45,40.09,-11.711,1,1.24,0.99,7.963,0.612,-0.339,11.45,11.3,11.2,11.1
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/28-Bicyclist Farside Scenarios/29-CBFA-50 20 kph (Day) [7.2.12]/676-VUT 40 kph; CBFA-50 20 kph (Day)/V13_T676_R2.txt,13-xiaopengG9,CBFA,727e107d362e0a106224ac2fd9040e07b58916a8799345249c219721b904b9ad,contact_and_stopped,11.34,40.18,-12.264,1,1.26,0.95,7.81,0.688,-0.222,11.34,11.19,11.09,10.99
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/30-Bicyclist Nearside Scenarios/31-CBNA-50 15 kph (Day) [7.2.10]/697-VUT 20 kph; CBNA-50 15 kph (Day)/V13_T697_R1.txt,13-xiaopengG9,CBNA,11583f8fc5f8dbadf52c406209370b0a8b79537e2930ed0e3977ce81e8accb4c,clear,19.86,20.16,-11.291,1,0.68,0.74,6.952,0.545,0.05,19.86,19.71,19.61,19.51
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/30-Bicyclist Nearside Scenarios/31-CBNA-50 15 kph (Day) [7.2.10]/709-VUT 40 kph; CBNA-50 15 kph (Day)/V13_T709_R1.txt,13-xiaopengG9,CBNA,44ff10494c60e091f9a2f0387c6da2ae4d1b4ba938fa9d480bf94156287257a2,clear,11.34,40.15,-11.941,1,1.2,0.73,8.575,0.78,-0.154,11.34,11.19,11.09,10.99
